id,rulesNo,assumptionsNo,worstCase,relevantRulesNo,worstCaseRelevant,relevantPerc,instance,goal
89,57,8,130,57,130,1.0,aba_25_0.3_5_10_0.aba,s3
90,1370,50,2840,1370,2840,1.0,aba_500_0.1_5_5_7.aba,s464
91,38,8,92,38,92,1.0,aba_25_0.3_5_10_9.aba,s5
92,10547,1500,24094,10547,24094,1.0,aba_5000_0.3_5_10_5.aba,s1185
93,5443,200,11286,5443,11286,1.0,aba_2000_0.1_5_5_4.aba,s1357
94,4197,600,9594,4184,9568,1.0,aba_2000_0.3_5_5_6.aba,s391
95,7771,600,16742,7771,16742,1.0,aba_2000_0.3_10_5_1.aba,s1941
96,13477,500,27954,13477,27954,1.0,aba_5000_0.1_5_10_0.aba,s402
97,1026,150,2352,1026,2352,1.0,aba_500_0.3_5_5_6.aba,s475
98,476,10,972,476,972,1.0,aba_100_0.1_10_10_8.aba,s1
99,19049,1500,41098,19049,41098,1.0,aba_5000_0.3_10_5_0.aba,s4558
100,51,8,118,51,118,1.0,aba_25_0.3_5_5_2.aba,s3
101,277,10,574,277,574,1.0,aba_100_0.1_5_10_9.aba,s5
102,10489,1500,23978,10465,23930,1.0,aba_5000_0.3_5_5_6.aba,s3728
103,1423,50,2946,1423,2946,1.0,aba_500_0.1_5_5_6.aba,s386
104,2467,50,5034,2467,5034,1.0,aba_500_0.1_10_10_6.aba,s228
105,197,30,454,197,454,1.0,aba_100_0.3_5_5_2.aba,s46
106,50,8,116,50,116,1.0,aba_25_0.3_5_5_7.aba,s11
107,2552,50,5204,2552,5204,1.0,aba_500_0.1_10_10_0.aba,s42
108,10563,1500,24126,10563,24126,1.0,aba_5000_0.3_5_10_2.aba,s1215
109,526,10,1072,526,1072,1.0,aba_100_0.1_10_5_1.aba,s39
110,1057,150,2414,1057,2414,1.0,aba_500_0.3_5_5_3.aba,s281
111,9930,200,20260,9930,20260,1.0,aba_2000_0.1_10_5_5.aba,s116
112,1352,50,2804,1352,2804,1.0,aba_500_0.1_5_5_3.aba,s488
113,84,8,184,84,184,1.0,aba_25_0.3_10_10_6.aba,s5
114,259,10,538,259,538,1.0,aba_100_0.1_5_10_1.aba,s8
115,2519,50,5138,2519,5138,1.0,aba_500_0.1_10_5_4.aba,s37
116,4140,600,9480,4135,9470,1.0,aba_2000_0.3_5_10_4.aba,s528
117,2546,50,5192,2546,5192,1.0,aba_500_0.1_10_5_0.aba,s382
118,4297,600,9794,4297,9794,1.0,aba_2000_0.3_5_5_1.aba,s1864
119,76,2,156,76,156,1.0,aba_25_0.1_5_10_6.aba,s22
120,1368,50,2836,1368,2836,1.0,aba_500_0.1_5_5_1.aba,s253
121,13508,500,28016,13508,28016,1.0,aba_5000_0.1_5_10_2.aba,s292
122,136,2,276,136,276,1.0,aba_25_0.1_10_10_2.aba,s11
123,5409,200,11218,5409,11218,1.0,aba_2000_0.1_5_10_5.aba,s228
124,201,30,462,201,462,1.0,aba_100_0.3_5_5_8.aba,s93
125,10548,1500,24096,10548,24096,1.0,aba_5000_0.3_5_10_9.aba,s1002
126,1370,50,2840,1370,2840,1.0,aba_500_0.1_5_5_4.aba,s290
127,10114,200,20628,10114,20628,1.0,aba_2000_0.1_10_5_6.aba,s834
128,9766,200,19932,9766,19932,1.0,aba_2000_0.1_10_10_5.aba,s1795
129,24991,500,50982,24991,50982,1.0,aba_5000_0.1_10_10_4.aba,s1930
130,378,30,816,378,816,1.0,aba_100_0.3_10_5_5.aba,s1
131,1931,150,4162,1931,4162,1.0,aba_500_0.3_10_5_7.aba,s176
132,263,10,546,263,546,1.0,aba_100_0.1_5_10_4.aba,s10
133,1965,150,4230,1965,4230,1.0,aba_500_0.3_10_5_0.aba,s445
134,122,2,248,122,248,1.0,aba_25_0.1_10_10_4.aba,s10
135,19515,1500,42030,19515,42030,1.0,aba_5000_0.3_10_10_3.aba,s805
136,13426,500,27852,13426,27852,1.0,aba_5000_0.1_5_10_8.aba,s478
137,4276,600,9752,4274,9748,1.0,aba_2000_0.3_5_5_5.aba,s1864
138,382,30,824,382,824,1.0,aba_100_0.3_10_10_1.aba,s51
139,1860,150,4020,1860,4020,1.0,aba_500_0.3_10_5_8.aba,s132
140,5379,200,11158,5379,11158,1.0,aba_2000_0.1_5_10_3.aba,s16
141,5365,200,11130,5365,11130,1.0,aba_2000_0.1_5_10_1.aba,s368
142,198,30,456,198,456,1.0,aba_100_0.3_5_5_9.aba,s100
143,272,10,564,272,564,1.0,aba_100_0.1_5_5_2.aba,s55
144,2430,50,4960,2430,4960,1.0,aba_500_0.1_10_10_7.aba,s30
145,426,30,912,426,912,1.0,aba_100_0.3_10_10_7.aba,s20
146,75,2,154,75,154,1.0,aba_25_0.1_5_5_8.aba,s14
147,13610,500,28220,13596,28192,1.0,aba_5000_0.1_5_5_3.aba,s1979
148,361,30,782,361,782,1.0,aba_100_0.3_10_10_3.aba,s41
149,131,2,266,131,266,1.0,aba_25_0.1_10_10_7.aba,s4
150,427,30,914,427,914,1.0,aba_100_0.3_10_10_4.aba,s28
151,116,2,236,116,236,1.0,aba_25_0.1_10_10_6.aba,s1
152,52,8,120,52,120,1.0,aba_25_0.3_5_5_1.aba,s13
153,13546,500,28092,13542,28084,1.0,aba_5000_0.1_5_5_7.aba,s378
154,7783,600,16766,7783,16766,1.0,aba_2000_0.3_10_10_8.aba,s719
155,1912,150,4124,1912,4124,1.0,aba_500_0.3_10_5_2.aba,s225
156,13484,500,27968,13483,27966,1.0,aba_5000_0.1_5_5_9.aba,s702
157,10631,1500,24262,10631,24262,1.0,aba_5000_0.3_5_10_3.aba,s2417
158,277,10,574,277,574,1.0,aba_100_0.1_5_10_8.aba,s1
159,265,10,550,265,550,1.0,aba_100_0.1_5_5_8.aba,s53
160,508,10,1036,508,1036,1.0,aba_100_0.1_10_5_5.aba,s48
161,45,8,106,45,106,1.0,aba_25_0.3_5_10_1.aba,s19
162,10503,1500,24006,10503,24006,1.0,aba_5000_0.3_5_10_8.aba,s811
163,65,2,134,65,134,1.0,aba_25_0.1_5_5_9.aba,s1
164,130,2,264,130,264,1.0,aba_25_0.1_10_10_0.aba,s21
165,1903,150,4106,1903,4106,1.0,aba_500_0.3_10_10_5.aba,s426
166,19440,1500,41880,19440,41880,1.0,aba_5000_0.3_10_5_1.aba,s899
167,477,10,974,477,974,1.0,aba_100_0.1_10_5_6.aba,s33
168,7633,600,16466,7633,16466,1.0,aba_2000_0.3_10_5_3.aba,s469
169,7583,600,16366,7583,16366,1.0,aba_2000_0.3_10_5_2.aba,s1394
170,458,10,936,458,936,1.0,aba_100_0.1_10_10_3.aba,s5
171,2035,150,4370,2035,4370,1.0,aba_500_0.3_10_5_1.aba,s156
172,1049,150,2398,1049,2398,1.0,aba_500_0.3_5_10_5.aba,s130
173,1975,150,4250,1975,4250,1.0,aba_500_0.3_10_10_7.aba,s475
174,47,8,110,47,110,1.0,aba_25_0.3_5_5_0.aba,s2
175,13381,500,27762,13381,27762,1.0,aba_5000_0.1_5_10_6.aba,s500
176,129,2,262,129,262,1.0,aba_25_0.1_10_10_9.aba,s2
177,106,2,216,106,216,1.0,aba_25_0.1_10_10_8.aba,s2
178,13590,500,28180,13590,28180,1.0,aba_5000_0.1_5_5_0.aba,s3984
179,18963,1500,40926,18963,40926,1.0,aba_5000_0.3_10_10_1.aba,s1700
180,10517,1500,24034,10495,23990,1.0,aba_5000_0.3_5_5_4.aba,s2164
181,4201,600,9602,4201,9602,1.0,aba_2000_0.3_5_10_6.aba,s1576
182,5431,200,11262,5431,11262,1.0,aba_2000_0.1_5_10_6.aba,s34
183,1317,50,2734,1317,2734,1.0,aba_500_0.1_5_5_9.aba,s282
184,386,30,832,386,832,1.0,aba_100_0.3_10_5_9.aba,s20
185,24604,500,50208,24604,50208,1.0,aba_5000_0.1_10_5_9.aba,s585
186,72,2,148,72,148,1.0,aba_25_0.1_5_5_5.aba,s1
187,358,30,776,358,776,1.0,aba_100_0.3_10_5_1.aba,s80
188,114,2,232,114,232,1.0,aba_25_0.1_10_5_0.aba,s13
189,411,30,882,411,882,1.0,aba_100_0.3_10_10_9.aba,s78
190,47,8,110,47,110,1.0,aba_25_0.3_5_10_4.aba,s8
191,1367,50,2834,1367,2834,1.0,aba_500_0.1_5_10_8.aba,s27
192,9791,200,19982,9791,19982,1.0,aba_2000_0.1_10_5_0.aba,s1895
193,1069,150,2438,1069,2438,1.0,aba_500_0.3_5_10_1.aba,s34
194,46,8,108,46,108,1.0,aba_25_0.3_5_10_2.aba,s6
195,7697,600,16594,7697,16594,1.0,aba_2000_0.3_10_10_9.aba,s900
196,120,8,256,120,256,1.0,aba_25_0.3_10_10_2.aba,s5
197,255,10,530,255,530,1.0,aba_100_0.1_5_5_7.aba,s2
198,99,8,214,99,214,1.0,aba_25_0.3_10_5_5.aba,s22
199,10118,200,20636,10118,20636,1.0,aba_2000_0.1_10_10_4.aba,s16
200,62,2,128,62,128,1.0,aba_25_0.1_5_10_7.aba,s6
201,121,2,246,121,246,1.0,aba_25_0.1_10_5_5.aba,s6
202,214,30,488,214,488,1.0,aba_100_0.3_5_5_6.aba,s58
203,1937,150,4174,1937,4174,1.0,aba_500_0.3_10_5_9.aba,s263
204,105,8,226,105,226,1.0,aba_25_0.3_10_10_1.aba,s21
205,2435,50,4970,2435,4970,1.0,aba_500_0.1_10_5_5.aba,s171
206,18931,1500,40862,18931,40862,1.0,aba_5000_0.3_10_5_4.aba,s1390
207,1028,150,2356,1028,2356,1.0,aba_500_0.3_5_10_0.aba,s36
208,10435,1500,23870,10425,23850,1.0,aba_5000_0.3_5_5_5.aba,s1372
209,10482,1500,23964,10455,23910,1.0,aba_5000_0.3_5_5_7.aba,s2005
210,524,10,1068,524,1068,1.0,aba_100_0.1_10_5_3.aba,s8
211,197,30,454,197,454,1.0,aba_100_0.3_5_5_3.aba,s100
212,2385,50,4870,2385,4870,1.0,aba_500_0.1_10_5_9.aba,s431
213,4155,600,9510,4142,9484,1.0,aba_2000_0.3_5_5_2.aba,s1812
214,24593,500,50186,24593,50186,1.0,aba_5000_0.1_10_10_7.aba,s84
215,534,10,1088,534,1088,1.0,aba_100_0.1_10_10_1.aba,s2
216,4165,600,9530,4165,9530,1.0,aba_2000_0.3_5_10_1.aba,s383
217,97,8,210,97,210,1.0,aba_25_0.3_10_10_4.aba,s3
218,10055,200,20510,10055,20510,1.0,aba_2000_0.1_10_5_8.aba,s1352
219,103,8,222,103,222,1.0,aba_25_0.3_10_5_1.aba,s20
220,456,10,932,456,932,1.0,aba_100_0.1_10_10_7.aba,s13
221,215,30,490,215,490,1.0,aba_100_0.3_5_5_5.aba,s42
222,10526,1500,24052,10517,24034,1.0,aba_5000_0.3_5_5_2.aba,s3069
223,416,30,892,416,892,1.0,aba_100_0.3_10_10_0.aba,s78
224,1956,150,4212,1956,4212,1.0,aba_500_0.3_10_10_0.aba,s438
225,24792,500,50584,24792,50584,1.0,aba_5000_0.1_10_5_0.aba,s4063
226,980,150,2260,978,2256,1.0,aba_500_0.3_5_5_4.aba,s136
227,24628,500,50256,24628,50256,1.0,aba_5000_0.1_10_5_8.aba,s548
228,13457,500,27914,13457,27914,1.0,aba_5000_0.1_5_10_5.aba,s377
229,19151,1500,41302,19151,41302,1.0,aba_5000_0.3_10_5_8.aba,s1459
230,93,8,202,93,202,1.0,aba_25_0.3_10_10_0.aba,s9
231,2506,50,5112,2506,5112,1.0,aba_500_0.1_10_10_3.aba,s41
232,5341,200,11082,5341,11082,1.0,aba_2000_0.1_5_10_8.aba,s806
233,4255,600,9710,4255,9710,1.0,aba_2000_0.3_5_5_0.aba,s1511
234,99,8,214,99,214,1.0,aba_25_0.3_10_5_0.aba,s2
235,449,10,918,449,918,1.0,aba_100_0.1_10_5_8.aba,s20
236,1319,50,2738,1319,2738,1.0,aba_500_0.1_5_5_0.aba,s43
237,7684,600,16568,7684,16568,1.0,aba_2000_0.3_10_5_6.aba,s954
238,85,8,186,85,186,1.0,aba_25_0.3_10_5_4.aba,s2
239,5289,200,10978,5289,10978,1.0,aba_2000_0.1_5_10_0.aba,s1883
240,291,10,602,291,602,1.0,aba_100_0.1_5_5_3.aba,s56
241,9926,200,20252,9926,20252,1.0,aba_2000_0.1_10_5_4.aba,s1241
242,19552,1500,42104,19552,42104,1.0,aba_5000_0.3_10_5_3.aba,s332
243,2521,50,5142,2521,5142,1.0,aba_500_0.1_10_5_8.aba,s26
244,1027,150,2354,1027,2354,1.0,aba_500_0.3_5_5_9.aba,s193
245,201,30,462,201,462,1.0,aba_100_0.3_5_5_7.aba,s16
246,7805,600,16810,7805,16810,1.0,aba_2000_0.3_10_10_7.aba,s1886
247,360,30,780,360,780,1.0,aba_100_0.3_10_10_2.aba,s57
248,10516,1500,24032,10516,24032,1.0,aba_5000_0.3_5_10_0.aba,s1132
249,19320,1500,41640,19320,41640,1.0,aba_5000_0.3_10_10_9.aba,s2996
250,1827,150,3954,1827,3954,1.0,aba_500_0.3_10_5_4.aba,s223
251,84,8,184,84,184,1.0,aba_25_0.3_10_5_3.aba,s17
252,5389,200,11178,5388,11176,1.0,aba_2000_0.1_5_5_9.aba,s206
253,9962,200,20324,9962,20324,1.0,aba_2000_0.1_10_5_1.aba,s1422
254,24941,500,50882,24941,50882,1.0,aba_5000_0.1_10_10_3.aba,s739
255,41,8,98,41,98,1.0,aba_25_0.3_5_5_3.aba,s20
256,277,10,574,277,574,1.0,aba_100_0.1_5_5_4.aba,s3
257,126,2,256,126,256,1.0,aba_25_0.1_10_10_5.aba,s16
258,13323,500,27646,13314,27628,1.0,aba_5000_0.1_5_5_4.aba,s3621
259,19333,1500,41666,19333,41666,1.0,aba_5000_0.3_10_5_6.aba,s1717
260,99,8,214,99,214,1.0,aba_25_0.3_10_5_8.aba,s15
261,464,10,948,464,948,1.0,aba_100_0.1_10_10_6.aba,s6
262,4222,600,9644,4219,9638,1.0,aba_2000_0.3_5_5_4.aba,s72
263,204,30,468,204,468,1.0,aba_100_0.3_5_5_1.aba,s63
264,13704,500,28408,13699,28398,1.0,aba_5000_0.1_5_5_2.aba,s532
265,19086,1500,41172,19086,41172,1.0,aba_5000_0.3_10_5_9.aba,s4169
266,4205,600,9610,4198,9596,1.0,aba_2000_0.3_5_5_3.aba,s1898
267,2432,50,4964,2432,4964,1.0,aba_500_0.1_10_10_2.aba,s336
268,13607,500,28214,13607,28214,1.0,aba_5000_0.1_5_10_3.aba,s2670
269,209,30,478,209,478,1.0,aba_100_0.3_5_10_5.aba,s7
270,5405,200,11210,5405,11210,1.0,aba_2000_0.1_5_5_2.aba,s1934
271,19076,1500,41152,19076,41152,1.0,aba_5000_0.3_10_5_5.aba,s3966
272,205,30,470,205,470,1.0,aba_100_0.3_5_10_1.aba,s1
273,70,2,144,70,144,1.0,aba_25_0.1_5_5_7.aba,s15
274,5446,200,11292,5446,11292,1.0,aba_2000_0.1_5_5_6.aba,s532
275,4081,600,9362,4081,9362,1.0,aba_2000_0.3_5_10_8.aba,s145
276,64,2,132,64,132,1.0,aba_25_0.1_5_10_3.aba,s2
277,1929,150,4158,1929,4158,1.0,aba_500_0.3_10_10_4.aba,s126
278,5335,200,11070,5330,11060,1.0,aba_2000_0.1_5_5_0.aba,s114
279,215,30,490,215,490,1.0,aba_100_0.3_5_10_4.aba,s20
280,10487,1500,23974,10469,23938,1.0,aba_5000_0.3_5_5_0.aba,s4221
281,102,8,220,102,220,1.0,aba_25_0.3_10_10_3.aba,s25
282,1021,150,2342,1021,2342,1.0,aba_500_0.3_5_5_1.aba,s181
283,13394,500,27788,13394,27788,1.0,aba_5000_0.1_5_10_1.aba,s241
284,2494,50,5088,2494,5088,1.0,aba_500_0.1_10_5_1.aba,s361
285,1912,150,4124,1912,4124,1.0,aba_500_0.3_10_5_3.aba,s400
286,488,10,996,488,996,1.0,aba_100_0.1_10_10_4.aba,s7
287,9940,200,20280,9940,20280,1.0,aba_2000_0.1_10_5_7.aba,s1901
288,1936,150,4172,1936,4172,1.0,aba_500_0.3_10_5_6.aba,s327
289,24901,500,50802,24901,50802,1.0,aba_5000_0.1_10_10_6.aba,s704
290,1024,150,2348,1020,2340,1.0,aba_500_0.3_5_5_2.aba,s227
291,385,30,830,385,830,1.0,aba_100_0.3_10_5_6.aba,s86
292,380,30,820,380,820,1.0,aba_100_0.3_10_10_8.aba,s1
293,97,8,210,97,210,1.0,aba_25_0.3_10_5_2.aba,s11
294,9893,200,20186,9893,20186,1.0,aba_2000_0.1_10_10_3.aba,s82
295,2418,50,4936,2418,4936,1.0,aba_500_0.1_10_5_7.aba,s310
296,255,10,530,255,530,1.0,aba_100_0.1_5_5_5.aba,s4
297,72,2,148,72,148,1.0,aba_25_0.1_5_5_1.aba,s1
298,7796,600,16792,7796,16792,1.0,aba_2000_0.3_10_5_9.aba,s1306
299,491,10,1002,491,1002,1.0,aba_100_0.1_10_10_9.aba,s6
300,375,30,810,375,810,1.0,aba_100_0.3_10_5_4.aba,s25
301,9999,200,20398,9999,20398,1.0,aba_2000_0.1_10_10_8.aba,s44
302,24817,500,50634,24817,50634,1.0,aba_5000_0.1_10_10_1.aba,s4062
303,51,8,118,51,118,1.0,aba_25_0.3_5_5_8.aba,s16
304,300,10,620,300,620,1.0,aba_100_0.1_5_5_6.aba,s62
305,73,2,150,73,150,1.0,aba_25_0.1_5_10_1.aba,s11
306,219,30,498,219,498,1.0,aba_100_0.3_5_5_0.aba,s90
307,4221,600,9642,4221,9642,1.0,aba_2000_0.3_5_10_9.aba,s1374
308,24744,500,50488,24744,50488,1.0,aba_5000_0.1_10_5_4.aba,s1536
309,507,10,1034,507,1034,1.0,aba_100_0.1_10_10_2.aba,s14
310,9774,200,19948,9774,19948,1.0,aba_2000_0.1_10_10_0.aba,s175
311,7754,600,16708,7754,16708,1.0,aba_2000_0.3_10_5_8.aba,s721
312,68,2,140,68,140,1.0,aba_25_0.1_5_5_0.aba,s2
313,5406,200,11212,5404,11208,1.0,aba_2000_0.1_5_5_5.aba,s1463
314,101,8,218,101,218,1.0,aba_25_0.3_10_5_7.aba,s17
315,2469,50,5038,2469,5038,1.0,aba_500_0.1_10_10_5.aba,s355
316,7887,600,16974,7887,16974,1.0,aba_2000_0.3_10_10_2.aba,s1507
317,9769,200,19938,9769,19938,1.0,aba_2000_0.1_10_10_9.aba,s1730
318,2465,50,5030,2465,5030,1.0,aba_500_0.1_10_10_9.aba,s460
319,1041,150,2382,1041,2382,1.0,aba_500_0.3_5_10_9.aba,s44
320,75,2,154,75,154,1.0,aba_25_0.1_5_5_6.aba,s1
321,2014,150,4328,2014,4328,1.0,aba_500_0.3_10_10_8.aba,s445
322,480,10,980,480,980,1.0,aba_100_0.1_10_5_4.aba,s26
323,2460,50,5020,2460,5020,1.0,aba_500_0.1_10_5_6.aba,s298
324,9670,200,19740,9670,19740,1.0,aba_2000_0.1_10_5_2.aba,s418
325,19228,1500,41456,19228,41456,1.0,aba_5000_0.3_10_10_2.aba,s2403
326,19080,1500,41160,19080,41160,1.0,aba_5000_0.3_10_10_7.aba,s1675
327,24877,500,50754,24877,50754,1.0,aba_5000_0.1_10_10_9.aba,s141
328,1398,50,2896,1398,2896,1.0,aba_500_0.1_5_10_0.aba,s99
329,272,10,564,272,564,1.0,aba_100_0.1_5_10_6.aba,s86
330,1021,150,2342,1021,2342,1.0,aba_500_0.3_5_10_7.aba,s44
331,7586,600,16372,7586,16372,1.0,aba_2000_0.3_10_5_4.aba,s1500
332,1022,150,2344,1022,2344,1.0,aba_500_0.3_5_5_0.aba,s391
333,390,30,840,390,840,1.0,aba_100_0.3_10_10_5.aba,s66
334,24523,500,50046,24523,50046,1.0,aba_5000_0.1_10_10_8.aba,s983
335,2001,150,4302,2001,4302,1.0,aba_500_0.3_10_10_1.aba,s342
336,10013,200,20426,10013,20426,1.0,aba_2000_0.1_10_10_6.aba,s1652
337,1042,150,2384,1040,2380,1.0,aba_500_0.3_5_5_7.aba,s421
338,10146,200,20692,10146,20692,1.0,aba_2000_0.1_10_10_1.aba,s1614
339,9956,200,20312,9956,20312,1.0,aba_2000_0.1_10_10_2.aba,s193
340,1057,150,2414,1057,2414,1.0,aba_500_0.3_5_10_6.aba,s402
341,13544,500,28088,13542,28084,1.0,aba_5000_0.1_5_5_6.aba,s519
342,13571,500,28142,13568,28136,1.0,aba_5000_0.1_5_5_8.aba,s2777
343,420,30,900,420,900,1.0,aba_100_0.3_10_10_6.aba,s74
344,9833,200,20066,9833,20066,1.0,aba_2000_0.1_10_10_7.aba,s169
345,1410,50,2920,1410,2920,1.0,aba_500_0.1_5_5_8.aba,s29
346,56,8,128,56,128,1.0,aba_25_0.3_5_10_6.aba,s8
