id,instance,goal,correct_result
41,instance_n=10_m=0_b=4.lp,fr6_r2,
42,instance_n=10_m=0_b=4.lp,fr6_e2,
43,instance_n=10_m=0_b=4.lp,fr10_a2,
44,instance_n=10_m=0_b=4.lp,fr2_p2,
45,instance_n=10_m=0_b=4.lp,fr7_b1,
46,instance_n=10_m=0_b=4.lp,fr4_e2,
47,instance_n=10_m=0_b=4.lp,fr1_q3,
48,instance_n=10_m=0_b=4.lp,fr6_p2,
49,instance_n=10_m=0_b=4.lp,fr1_a3,
50,instance_n=10_m=0_b=4.lp,fr2_a1,
51,instance_n=10_m=1_b=0.lp,fr9_q1,
52,instance_n=10_m=1_b=0.lp,fr6_x3,
53,instance_n=10_m=1_b=0.lp,fr4_w1,
54,instance_n=10_m=1_b=0.lp,fr7_q2,
55,instance_n=10_m=1_b=0.lp,fr10_q3,
56,instance_n=10_m=1_b=0.lp,fr2_p2,
57,instance_n=10_m=1_b=0.lp,fr8_e2,
58,instance_n=10_m=1_b=0.lp,fr10_r2,
59,instance_n=10_m=1_b=0.lp,fr7_t2,
60,instance_n=10_m=1_b=0.lp,fr9_r3,
61,instance_n=10_m=1_b=1.lp,fr9_a2,
62,instance_n=10_m=1_b=1.lp,fr7_w1,
63,instance_n=10_m=1_b=1.lp,fr5_x1,
64,instance_n=10_m=1_b=1.lp,fr4_e3,
65,instance_n=10_m=1_b=1.lp,fr6_d2,
66,instance_n=10_m=1_b=1.lp,fr3_s1,
67,instance_n=10_m=1_b=1.lp,fr6_c2,
68,instance_n=10_m=1_b=1.lp,fr1_a2,
69,instance_n=10_m=1_b=1.lp,fr9_c1,
70,instance_n=10_m=1_b=1.lp,fr7_q2,
71,instance_n=10_m=1_b=2.lp,fr3_f2,
72,instance_n=10_m=1_b=2.lp,fr9_f2,
73,instance_n=10_m=1_b=2.lp,fr3_w4,
74,instance_n=10_m=1_b=2.lp,fr5_p2,
75,instance_n=10_m=1_b=2.lp,fr8_q1,
76,instance_n=10_m=1_b=2.lp,fr7_a3,
77,instance_n=10_m=1_b=2.lp,fr2_d3,
78,instance_n=10_m=1_b=2.lp,fr6_c1,
79,instance_n=10_m=1_b=2.lp,fr7_v1,
80,instance_n=10_m=1_b=2.lp,fr3_v2,
81,instance_n=10_m=1_b=3.lp,fr4_z4,
82,instance_n=10_m=1_b=3.lp,fr6_x3,
83,instance_n=10_m=1_b=3.lp,fr8_p2,
84,instance_n=10_m=1_b=3.lp,fr7_s1,
85,instance_n=10_m=1_b=3.lp,fr10_a4,
86,instance_n=10_m=1_b=3.lp,fr3_b3,
87,instance_n=10_m=1_b=3.lp,fr4_u6,
88,instance_n=10_m=1_b=3.lp,fr2_c2,
89,instance_n=10_m=1_b=3.lp,fr3_w3,
90,instance_n=10_m=1_b=3.lp,fr4_s2,
91,instance_n=10_m=1_b=4.lp,fr8_y1,
92,instance_n=10_m=1_b=4.lp,fr9_b2,
93,instance_n=10_m=1_b=4.lp,fr6_c1,
94,instance_n=10_m=1_b=4.lp,fr9_c3,
95,instance_n=10_m=1_b=4.lp,fr1_b2,
96,instance_n=10_m=1_b=4.lp,fr8_w3,
97,instance_n=10_m=1_b=4.lp,fr4_f5,
98,instance_n=10_m=1_b=4.lp,fr2_p1,
99,instance_n=10_m=1_b=4.lp,fr4_e2,
100,instance_n=10_m=1_b=4.lp,fr3_w1,
101,instance_n=10_m=2_b=0.lp,fr6_w1,
102,instance_n=10_m=2_b=0.lp,fr5_d1,
103,instance_n=10_m=2_b=0.lp,fr3_y2,
104,instance_n=10_m=2_b=0.lp,fr8_r2,
105,instance_n=10_m=2_b=0.lp,fr8_c1,
106,instance_n=10_m=2_b=0.lp,fr3_c1,
107,instance_n=10_m=2_b=0.lp,fr4_c1,
108,instance_n=10_m=2_b=0.lp,fr4_c2,
109,instance_n=10_m=2_b=0.lp,fr3_r2,
110,instance_n=10_m=2_b=0.lp,fr3_c2,
111,instance_n=10_m=2_b=1.lp,fr1_z2,
112,instance_n=10_m=2_b=1.lp,fr7_f2,
113,instance_n=10_m=2_b=1.lp,fr9_d1,
114,instance_n=10_m=2_b=1.lp,fr10_z1,
115,instance_n=10_m=2_b=1.lp,fr2_e1,
116,instance_n=10_m=2_b=1.lp,fr2_a1,
117,instance_n=10_m=2_b=1.lp,fr9_e1,
118,instance_n=10_m=2_b=1.lp,fr4_a3,
119,instance_n=10_m=2_b=1.lp,fr7_p1,
120,instance_n=10_m=2_b=1.lp,fr9_q1,
121,instance_n=10_m=2_b=2.lp,fr1_w5,
122,instance_n=10_m=2_b=2.lp,fr3_p1,
123,instance_n=10_m=2_b=2.lp,fr9_u2,
124,instance_n=10_m=2_b=2.lp,fr1_x3,
125,instance_n=10_m=2_b=2.lp,fr8_w1,
126,instance_n=10_m=2_b=2.lp,fr8_q1,
127,instance_n=10_m=2_b=2.lp,fr8_x2,
128,instance_n=10_m=2_b=2.lp,fr10_b3,
129,instance_n=10_m=2_b=2.lp,fr2_y1,
130,instance_n=10_m=2_b=2.lp,fr2_c3,
131,instance_n=10_m=2_b=3.lp,fr9_a2,
132,instance_n=10_m=2_b=3.lp,fr7_t1,
133,instance_n=10_m=2_b=3.lp,fr1_w3,
134,instance_n=10_m=2_b=3.lp,fr10_x1,
135,instance_n=10_m=2_b=3.lp,fr9_s2,
136,instance_n=10_m=2_b=3.lp,fr9_w2,
137,instance_n=10_m=2_b=3.lp,fr10_c1,
138,instance_n=10_m=2_b=3.lp,fr2_p4,
139,instance_n=10_m=2_b=3.lp,fr10_y2,
140,instance_n=10_m=2_b=3.lp,fr10_p3,
141,instance_n=10_m=2_b=4.lp,fr8_y3,
142,instance_n=10_m=2_b=4.lp,fr6_s2,
143,instance_n=10_m=2_b=4.lp,fr7_p2,
144,instance_n=10_m=2_b=4.lp,fr10_x3,
145,instance_n=10_m=2_b=4.lp,fr7_v1,
146,instance_n=10_m=2_b=4.lp,fr10_x2,
147,instance_n=10_m=2_b=4.lp,fr6_w1,
148,instance_n=10_m=2_b=4.lp,fr4_c3,
149,instance_n=10_m=2_b=4.lp,fr7_d1,
150,instance_n=10_m=2_b=4.lp,fr2_b2,
151,instance_n=10_m=3_b=0.lp,fr10_b2,
152,instance_n=10_m=3_b=0.lp,fr10_c2,
153,instance_n=10_m=3_b=0.lp,fr1_q4,
154,instance_n=10_m=3_b=0.lp,fr7_p2,
155,instance_n=10_m=3_b=0.lp,fr7_p1,
156,instance_n=10_m=3_b=0.lp,fr6_u2,
157,instance_n=10_m=3_b=0.lp,fr1_q1,
158,instance_n=10_m=3_b=0.lp,fr8_s2,
159,instance_n=10_m=3_b=0.lp,fr9_r1,
160,instance_n=10_m=3_b=0.lp,fr9_q1,
161,instance_n=10_m=3_b=1.lp,fr10_v3,
162,instance_n=10_m=3_b=1.lp,fr7_b1,
163,instance_n=10_m=3_b=1.lp,fr5_p5,
164,instance_n=10_m=3_b=1.lp,fr6_q2,
165,instance_n=10_m=3_b=1.lp,fr3_c1,
166,instance_n=10_m=3_b=1.lp,fr5_v4,
167,instance_n=10_m=3_b=1.lp,fr5_t2,
168,instance_n=10_m=3_b=1.lp,fr10_d1,
169,instance_n=10_m=3_b=1.lp,fr9_s3,
170,instance_n=10_m=3_b=1.lp,fr8_w3,
171,instance_n=10_m=3_b=2.lp,fr6_z2,
172,instance_n=10_m=3_b=2.lp,fr10_p3,
173,instance_n=10_m=3_b=2.lp,fr1_q3,
174,instance_n=10_m=3_b=2.lp,fr9_d2,
175,instance_n=10_m=3_b=2.lp,fr2_w1,
176,instance_n=10_m=3_b=2.lp,fr5_e1,
177,instance_n=10_m=3_b=2.lp,fr2_s2,
178,instance_n=10_m=3_b=2.lp,fr7_q2,
179,instance_n=10_m=3_b=2.lp,fr9_s2,
180,instance_n=10_m=3_b=2.lp,fr7_z2,
181,instance_n=10_m=3_b=3.lp,fr9_s3,
182,instance_n=10_m=3_b=3.lp,fr2_e2,
183,instance_n=10_m=3_b=3.lp,fr3_c2,
184,instance_n=10_m=3_b=3.lp,fr3_q1,
185,instance_n=10_m=3_b=3.lp,fr8_s2,
186,instance_n=10_m=3_b=3.lp,fr10_b3,
187,instance_n=10_m=3_b=3.lp,fr10_c1,
188,instance_n=10_m=3_b=3.lp,fr3_f3,
189,instance_n=10_m=3_b=3.lp,fr8_u3,
190,instance_n=10_m=3_b=3.lp,fr10_v1,
191,instance_n=10_m=3_b=4.lp,fr5_f1,
192,instance_n=10_m=3_b=4.lp,fr7_p6,
193,instance_n=10_m=3_b=4.lp,fr1_w4,
194,instance_n=10_m=3_b=4.lp,fr6_u3,
195,instance_n=10_m=3_b=4.lp,fr9_f2,
196,instance_n=10_m=3_b=4.lp,fr4_w2,
197,instance_n=10_m=3_b=4.lp,fr9_b2,
198,instance_n=10_m=3_b=4.lp,fr5_x1,
199,instance_n=10_m=3_b=4.lp,fr1_p3,
200,instance_n=10_m=3_b=4.lp,fr5_e3,
201,instance_n=10_m=4_b=0.lp,fr5_f2,
202,instance_n=10_m=4_b=0.lp,fr9_d1,
203,instance_n=10_m=4_b=0.lp,fr9_r2,
204,instance_n=10_m=4_b=0.lp,fr9_w2,
205,instance_n=10_m=4_b=0.lp,fr1_p2,
206,instance_n=10_m=4_b=0.lp,fr4_r2,
207,instance_n=10_m=4_b=0.lp,fr3_z2,
208,instance_n=10_m=4_b=0.lp,fr4_y2,
209,instance_n=10_m=4_b=0.lp,fr6_b3,
210,instance_n=10_m=4_b=0.lp,fr2_u3,
211,instance_n=10_m=4_b=1.lp,fr10_z2,
212,instance_n=10_m=4_b=1.lp,fr1_f1,
213,instance_n=10_m=4_b=1.lp,fr4_r3,
214,instance_n=10_m=4_b=1.lp,fr6_e2,
215,instance_n=10_m=4_b=1.lp,fr2_b2,
216,instance_n=10_m=4_b=1.lp,fr1_x1,
217,instance_n=10_m=4_b=1.lp,fr10_a3,
218,instance_n=10_m=4_b=1.lp,fr6_f2,
219,instance_n=10_m=4_b=1.lp,fr4_t2,
220,instance_n=10_m=4_b=1.lp,fr4_f1,
221,instance_n=10_m=4_b=2.lp,fr5_p1,
222,instance_n=10_m=4_b=2.lp,fr6_d2,
223,instance_n=10_m=4_b=2.lp,fr7_v1,
224,instance_n=10_m=4_b=2.lp,fr4_u2,
225,instance_n=10_m=4_b=2.lp,fr8_r5,
226,instance_n=10_m=4_b=2.lp,fr6_w3,
227,instance_n=10_m=4_b=2.lp,fr5_a6,
228,instance_n=10_m=4_b=2.lp,fr2_u2,
229,instance_n=10_m=4_b=2.lp,fr10_u2,
230,instance_n=10_m=4_b=2.lp,fr4_p2,
231,instance_n=10_m=4_b=3.lp,fr4_y2,
232,instance_n=10_m=4_b=3.lp,fr6_p2,
233,instance_n=10_m=4_b=3.lp,fr6_d3,
234,instance_n=10_m=4_b=3.lp,fr10_d1,
235,instance_n=10_m=4_b=3.lp,fr10_c1,
236,instance_n=10_m=4_b=3.lp,fr3_y1,
237,instance_n=10_m=4_b=3.lp,fr10_r1,
238,instance_n=10_m=4_b=3.lp,fr4_v1,
239,instance_n=10_m=4_b=3.lp,fr4_e1,
240,instance_n=10_m=4_b=3.lp,fr2_e1,
241,instance_n=10_m=4_b=4.lp,fr8_z1,
242,instance_n=10_m=4_b=4.lp,fr3_a3,
243,instance_n=10_m=4_b=4.lp,fr4_x1,
244,instance_n=10_m=4_b=4.lp,fr8_q4,
245,instance_n=10_m=4_b=4.lp,fr9_s1,
246,instance_n=10_m=4_b=4.lp,fr4_x3,
247,instance_n=10_m=4_b=4.lp,fr3_z1,
248,instance_n=10_m=4_b=4.lp,fr6_u2,
249,instance_n=10_m=4_b=4.lp,fr5_s2,
250,instance_n=10_m=4_b=4.lp,fr1_e1,
251,instance_n=10_m=5_b=0.lp,fr1_t3,
252,instance_n=10_m=5_b=0.lp,fr1_e2,
253,instance_n=10_m=5_b=0.lp,fr5_y2,
254,instance_n=10_m=5_b=0.lp,fr7_a1,
255,instance_n=10_m=5_b=0.lp,fr1_b2,
256,instance_n=10_m=5_b=0.lp,fr1_y1,
257,instance_n=10_m=5_b=0.lp,fr5_r3,
258,instance_n=10_m=5_b=0.lp,fr9_c1,
259,instance_n=10_m=5_b=0.lp,fr1_r4,
260,instance_n=10_m=5_b=0.lp,fr6_p3,
261,instance_n=10_m=5_b=1.lp,fr4_s2,
262,instance_n=10_m=5_b=1.lp,fr2_c3,
263,instance_n=10_m=5_b=1.lp,fr6_z2,
264,instance_n=10_m=5_b=1.lp,fr4_f2,
265,instance_n=10_m=5_b=1.lp,fr10_z1,
266,instance_n=10_m=5_b=1.lp,fr7_f1,
267,instance_n=10_m=5_b=1.lp,fr2_v4,
268,instance_n=10_m=5_b=1.lp,fr5_z2,
269,instance_n=10_m=5_b=1.lp,fr3_f2,
270,instance_n=10_m=5_b=1.lp,fr4_y3,
271,instance_n=10_m=5_b=2.lp,fr6_u3,
272,instance_n=10_m=5_b=2.lp,fr1_t1,
273,instance_n=10_m=5_b=2.lp,fr8_b2,
274,instance_n=10_m=5_b=2.lp,fr9_q3,
275,instance_n=10_m=5_b=2.lp,fr2_s2,
276,instance_n=10_m=5_b=2.lp,fr3_b1,
277,instance_n=10_m=5_b=2.lp,fr8_a2,
278,instance_n=10_m=5_b=2.lp,fr5_s2,
279,instance_n=10_m=5_b=2.lp,fr3_s3,
280,instance_n=10_m=5_b=2.lp,fr2_f1,
281,instance_n=10_m=5_b=3.lp,fr1_p3,
282,instance_n=10_m=5_b=3.lp,fr9_v3,
283,instance_n=10_m=5_b=3.lp,fr4_a3,
284,instance_n=10_m=5_b=3.lp,fr5_s2,
285,instance_n=10_m=5_b=3.lp,fr9_p3,
286,instance_n=10_m=5_b=3.lp,fr7_q3,
287,instance_n=10_m=5_b=3.lp,fr2_a3,
288,instance_n=10_m=5_b=3.lp,fr2_r2,
289,instance_n=10_m=5_b=3.lp,fr3_a1,
290,instance_n=10_m=5_b=3.lp,fr4_a2,
291,instance_n=10_m=5_b=4.lp,fr8_u2,
292,instance_n=10_m=5_b=4.lp,fr6_d1,
293,instance_n=10_m=5_b=4.lp,fr2_v3,
294,instance_n=10_m=5_b=4.lp,fr10_x1,
295,instance_n=10_m=5_b=4.lp,fr4_d2,
296,instance_n=10_m=5_b=4.lp,fr8_u4,
297,instance_n=10_m=5_b=4.lp,fr8_c1,
298,instance_n=10_m=5_b=4.lp,fr7_b1,
299,instance_n=10_m=5_b=4.lp,fr3_q3,
300,instance_n=10_m=5_b=4.lp,fr2_z1,
301,instance_n=10_m=6_b=0.lp,fr8_v3,
302,instance_n=10_m=6_b=0.lp,fr2_b3,
303,instance_n=10_m=6_b=0.lp,fr2_f3,
304,instance_n=10_m=6_b=0.lp,fr1_p1,
305,instance_n=10_m=6_b=0.lp,fr10_e2,
306,instance_n=10_m=6_b=0.lp,fr2_a3,
307,instance_n=10_m=6_b=0.lp,fr9_s1,
308,instance_n=10_m=6_b=0.lp,fr7_v1,
309,instance_n=10_m=6_b=0.lp,fr9_s3,
310,instance_n=10_m=6_b=0.lp,fr1_q2,
311,instance_n=10_m=6_b=1.lp,fr7_y2,
312,instance_n=10_m=6_b=1.lp,fr4_q2,
313,instance_n=10_m=6_b=1.lp,fr1_t1,
314,instance_n=10_m=6_b=1.lp,fr10_r3,
315,instance_n=10_m=6_b=1.lp,fr8_b2,
316,instance_n=10_m=6_b=1.lp,fr7_q3,
317,instance_n=10_m=6_b=1.lp,fr3_b3,
318,instance_n=10_m=6_b=1.lp,fr1_a3,
319,instance_n=10_m=6_b=1.lp,fr4_w2,
320,instance_n=10_m=6_b=1.lp,fr1_p3,
321,instance_n=10_m=6_b=2.lp,fr9_s3,
322,instance_n=10_m=6_b=2.lp,fr8_b2,
323,instance_n=10_m=6_b=2.lp,fr10_c2,
324,instance_n=10_m=6_b=2.lp,fr4_d2,
325,instance_n=10_m=6_b=2.lp,fr4_x1,
326,instance_n=10_m=6_b=2.lp,fr6_q2,
327,instance_n=10_m=6_b=2.lp,fr9_r1,
328,instance_n=10_m=6_b=2.lp,fr8_a3,
329,instance_n=10_m=6_b=2.lp,fr1_r4,
330,instance_n=10_m=6_b=2.lp,fr10_e2,
331,instance_n=10_m=6_b=3.lp,fr6_z1,
332,instance_n=10_m=6_b=3.lp,fr10_f2,
333,instance_n=10_m=6_b=3.lp,fr8_e2,
334,instance_n=10_m=6_b=3.lp,fr3_s1,
335,instance_n=10_m=6_b=3.lp,fr10_z2,
336,instance_n=10_m=6_b=3.lp,fr3_d1,
337,instance_n=10_m=6_b=3.lp,fr3_p2,
338,instance_n=10_m=6_b=3.lp,fr1_a3,
339,instance_n=10_m=6_b=3.lp,fr9_e1,
340,instance_n=10_m=6_b=3.lp,fr9_c3,
341,instance_n=10_m=6_b=4.lp,fr4_y1,
342,instance_n=10_m=6_b=4.lp,fr8_u5,
343,instance_n=10_m=6_b=4.lp,fr6_b3,
344,instance_n=10_m=6_b=4.lp,fr2_q2,
345,instance_n=10_m=6_b=4.lp,fr9_b3,
346,instance_n=10_m=6_b=4.lp,fr1_x2,
347,instance_n=10_m=6_b=4.lp,fr10_s1,
348,instance_n=10_m=6_b=4.lp,fr9_s2,
349,instance_n=10_m=6_b=4.lp,fr7_x3,
350,instance_n=10_m=6_b=4.lp,fr4_w5,
351,instance_n=10_m=7_b=0.lp,fr4_c1,
352,instance_n=10_m=7_b=0.lp,fr3_c1,
353,instance_n=10_m=7_b=0.lp,fr4_a2,
354,instance_n=10_m=7_b=0.lp,fr5_s3,
355,instance_n=10_m=7_b=0.lp,fr9_q2,
356,instance_n=10_m=7_b=0.lp,fr5_s2,
357,instance_n=10_m=7_b=0.lp,fr10_f1,
358,instance_n=10_m=7_b=0.lp,fr3_a2,
359,instance_n=10_m=7_b=0.lp,fr7_r3,
360,instance_n=10_m=7_b=0.lp,fr9_c1,
361,instance_n=10_m=7_b=1.lp,fr9_d4,
362,instance_n=10_m=7_b=1.lp,fr8_y4,
363,instance_n=10_m=7_b=1.lp,fr5_a1,
364,instance_n=10_m=7_b=1.lp,fr6_c1,
365,instance_n=10_m=7_b=1.lp,fr5_d2,
366,instance_n=10_m=7_b=1.lp,fr5_f1,
367,instance_n=10_m=7_b=1.lp,fr9_w2,
368,instance_n=10_m=7_b=1.lp,fr1_p6,
369,instance_n=10_m=7_b=1.lp,fr2_c1,
370,instance_n=10_m=7_b=1.lp,fr6_b1,
371,instance_n=10_m=7_b=2.lp,fr4_z3,
372,instance_n=10_m=7_b=2.lp,fr1_p3,
373,instance_n=10_m=7_b=2.lp,fr5_a1,
374,instance_n=10_m=7_b=2.lp,fr9_b1,
375,instance_n=10_m=7_b=2.lp,fr5_r1,
376,instance_n=10_m=7_b=2.lp,fr1_x1,
377,instance_n=10_m=7_b=2.lp,fr6_w5,
378,instance_n=10_m=7_b=2.lp,fr2_p3,
379,instance_n=10_m=7_b=2.lp,fr2_z2,
380,instance_n=10_m=7_b=2.lp,fr7_a2,
381,instance_n=10_m=7_b=3.lp,fr7_t2,
382,instance_n=10_m=7_b=3.lp,fr2_c1,
383,instance_n=10_m=7_b=3.lp,fr5_p6,
384,instance_n=10_m=7_b=3.lp,fr2_x1,
385,instance_n=10_m=7_b=3.lp,fr10_x1,
386,instance_n=10_m=7_b=3.lp,fr5_a1,
387,instance_n=10_m=7_b=3.lp,fr5_f1,
388,instance_n=10_m=7_b=3.lp,fr5_q4,
389,instance_n=10_m=7_b=3.lp,fr2_y3,
390,instance_n=10_m=7_b=3.lp,fr7_d2,
391,instance_n=10_m=7_b=4.lp,fr9_w2,
392,instance_n=10_m=7_b=4.lp,fr3_f2,
393,instance_n=10_m=7_b=4.lp,fr10_d2,
394,instance_n=10_m=7_b=4.lp,fr2_a2,
395,instance_n=10_m=7_b=4.lp,fr9_v4,
396,instance_n=10_m=7_b=4.lp,fr1_c1,
397,instance_n=10_m=7_b=4.lp,fr2_v2,
398,instance_n=10_m=7_b=4.lp,fr9_a3,
399,instance_n=10_m=7_b=4.lp,fr2_u2,
400,instance_n=10_m=7_b=4.lp,fr1_f2,
401,instance_n=10_m=8_b=0.lp,fr8_t3,
402,instance_n=10_m=8_b=0.lp,fr6_a3,
403,instance_n=10_m=8_b=0.lp,fr8_u1,
404,instance_n=10_m=8_b=0.lp,fr5_u2,
405,instance_n=10_m=8_b=0.lp,fr6_b1,
406,instance_n=10_m=8_b=0.lp,fr7_r4,
407,instance_n=10_m=8_b=0.lp,fr10_q2,
408,instance_n=10_m=8_b=0.lp,fr5_b3,
409,instance_n=10_m=8_b=0.lp,fr5_e4,
410,instance_n=10_m=8_b=0.lp,fr5_u1,
411,instance_n=10_m=8_b=1.lp,fr1_x1,
412,instance_n=10_m=8_b=1.lp,fr3_r1,
413,instance_n=10_m=8_b=1.lp,fr6_q7,
414,instance_n=10_m=8_b=1.lp,fr6_f1,
415,instance_n=10_m=8_b=1.lp,fr7_d2,
416,instance_n=10_m=8_b=1.lp,fr6_s3,
417,instance_n=10_m=8_b=1.lp,fr7_x1,
418,instance_n=10_m=8_b=1.lp,fr9_v1,
419,instance_n=10_m=8_b=1.lp,fr6_s5,
420,instance_n=10_m=8_b=1.lp,fr10_a1,
421,instance_n=10_m=8_b=2.lp,fr10_e2,
422,instance_n=10_m=8_b=2.lp,fr9_q4,
423,instance_n=10_m=8_b=2.lp,fr9_v1,
424,instance_n=10_m=8_b=2.lp,fr4_p1,
425,instance_n=10_m=8_b=2.lp,fr7_b2,
426,instance_n=10_m=8_b=2.lp,fr6_x1,
427,instance_n=10_m=8_b=2.lp,fr6_e1,
428,instance_n=10_m=8_b=2.lp,fr5_t2,
429,instance_n=10_m=8_b=2.lp,fr1_c2,
430,instance_n=10_m=8_b=2.lp,fr9_y3,
431,instance_n=10_m=8_b=3.lp,fr7_b2,
432,instance_n=10_m=8_b=3.lp,fr7_t1,
433,instance_n=10_m=8_b=3.lp,fr3_s1,
434,instance_n=10_m=8_b=3.lp,fr9_y2,
435,instance_n=10_m=8_b=3.lp,fr7_z1,
436,instance_n=10_m=8_b=3.lp,fr9_d1,
437,instance_n=10_m=8_b=3.lp,fr3_w3,
438,instance_n=10_m=8_b=3.lp,fr6_u1,
439,instance_n=10_m=8_b=3.lp,fr7_e2,
440,instance_n=10_m=8_b=3.lp,fr7_t3,
441,instance_n=10_m=8_b=4.lp,fr7_w3,
442,instance_n=10_m=8_b=4.lp,fr6_d2,
443,instance_n=10_m=8_b=4.lp,fr2_f3,
444,instance_n=10_m=8_b=4.lp,fr1_b3,
445,instance_n=10_m=8_b=4.lp,fr2_w4,
446,instance_n=10_m=8_b=4.lp,fr6_c1,
447,instance_n=10_m=8_b=4.lp,fr8_y1,
448,instance_n=10_m=8_b=4.lp,fr6_r2,
449,instance_n=10_m=8_b=4.lp,fr9_z5,
450,instance_n=10_m=8_b=4.lp,fr10_d3,
451,instance_n=10_m=9_b=0.lp,fr6_v3,
452,instance_n=10_m=9_b=0.lp,fr2_f2,
453,instance_n=10_m=9_b=0.lp,fr3_r3,
454,instance_n=10_m=9_b=0.lp,fr10_b1,
455,instance_n=10_m=9_b=0.lp,fr4_e1,
456,instance_n=10_m=9_b=0.lp,fr9_w2,
457,instance_n=10_m=9_b=0.lp,fr7_d2,
458,instance_n=10_m=9_b=0.lp,fr9_x1,
459,instance_n=10_m=9_b=0.lp,fr2_x2,
460,instance_n=10_m=9_b=0.lp,fr1_t4,
461,instance_n=10_m=9_b=1.lp,fr3_d2,
462,instance_n=10_m=9_b=1.lp,fr6_b2,
463,instance_n=10_m=9_b=1.lp,fr5_e1,
464,instance_n=10_m=9_b=1.lp,fr6_z3,
465,instance_n=10_m=9_b=1.lp,fr6_a2,
466,instance_n=10_m=9_b=1.lp,fr7_y3,
467,instance_n=10_m=9_b=1.lp,fr3_e1,
468,instance_n=10_m=9_b=1.lp,fr9_d1,
469,instance_n=10_m=9_b=1.lp,fr4_p2,
470,instance_n=10_m=9_b=1.lp,fr2_d1,
471,instance_n=10_m=9_b=2.lp,fr9_v1,
472,instance_n=10_m=9_b=2.lp,fr7_c2,
473,instance_n=10_m=9_b=2.lp,fr7_u1,
474,instance_n=10_m=9_b=2.lp,fr1_a3,
475,instance_n=10_m=9_b=2.lp,fr1_b1,
476,instance_n=10_m=9_b=2.lp,fr7_b3,
477,instance_n=10_m=9_b=2.lp,fr5_y3,
478,instance_n=10_m=9_b=2.lp,fr9_p3,
479,instance_n=10_m=9_b=2.lp,fr5_u1,
480,instance_n=10_m=9_b=2.lp,fr3_w1,
481,instance_n=10_m=9_b=3.lp,fr5_s2,
482,instance_n=10_m=9_b=3.lp,fr4_f1,
483,instance_n=10_m=9_b=3.lp,fr8_b2,
484,instance_n=10_m=9_b=3.lp,fr6_f1,
485,instance_n=10_m=9_b=3.lp,fr9_x3,
486,instance_n=10_m=9_b=3.lp,fr7_x5,
487,instance_n=10_m=9_b=3.lp,fr9_e1,
488,instance_n=10_m=9_b=3.lp,fr8_a1,
489,instance_n=10_m=9_b=3.lp,fr1_u2,
490,instance_n=10_m=9_b=3.lp,fr8_t2,
491,instance_n=10_m=9_b=4.lp,fr8_v6,
492,instance_n=10_m=9_b=4.lp,fr7_y5,
493,instance_n=10_m=9_b=4.lp,fr7_b4,
494,instance_n=10_m=9_b=4.lp,fr6_b3,
495,instance_n=10_m=9_b=4.lp,fr4_q3,
496,instance_n=10_m=9_b=4.lp,fr6_d3,
497,instance_n=10_m=9_b=4.lp,fr8_a3,
498,instance_n=10_m=9_b=4.lp,fr8_r6,
499,instance_n=10_m=9_b=4.lp,fr9_q3,
