,instance,goal,adm_result,stb_result,is_trivial
67,exp_acyclic_depvary_step10_batch_yyy07.pl,a6,yes,yes,no
68,exp_acyclic_depvary_step10_batch_yyy07.pl,b3,yes,yes,no
69,exp_acyclic_depvary_step10_batch_yyy07.pl,y4,no,no,no
70,exp_acyclic_depvary_step10_batch_yyy08.pl,c3,yes,yes,no
71,exp_acyclic_depvary_step10_batch_yyy08.pl,e1,yes,yes,no
72,exp_acyclic_depvary_step10_batch_yyy08.pl,v5,yes,yes,no
73,exp_acyclic_depvary_step10_batch_yyy08.pl,a5,yes,yes,no
74,exp_acyclic_depvary_step10_batch_yyy08.pl,a4,no,no,no
75,exp_acyclic_depvary_step10_batch_yyy08.pl,z2,no,no,no
76,exp_acyclic_depvary_step10_batch_yyy08.pl,q3,yes,yes,no
77,exp_acyclic_depvary_step10_batch_yyy08.pl,t1,no,no,no
78,exp_acyclic_depvary_step10_batch_yyy08.pl,z4,yes,yes,no
79,exp_acyclic_depvary_step10_batch_yyy08.pl,r5,no,no,yes
80,exp_acyclic_depvary_step10_batch_yyy09.pl,b2,no,no,no
81,exp_acyclic_depvary_step10_batch_yyy09.pl,y4,no,no,yes
82,exp_acyclic_depvary_step10_batch_yyy09.pl,t3,yes,yes,no
83,exp_acyclic_depvary_step10_batch_yyy09.pl,z1,yes,yes,no
84,exp_acyclic_depvary_step10_batch_yyy09.pl,f5,yes,yes,no
85,exp_acyclic_depvary_step10_batch_yyy09.pl,z4,no,no,no
86,exp_acyclic_depvary_step10_batch_yyy09.pl,e3,no,no,no
87,exp_acyclic_depvary_step10_batch_yyy09.pl,y1,no,no,yes
88,exp_acyclic_depvary_step10_batch_yyy09.pl,a3,no,no,no
89,exp_acyclic_depvary_step10_batch_yyy09.pl,q2,no,no,no
90,exp_acyclic_depvary_step10_batch_yyy10.pl,d5,yes,yes,no
91,exp_acyclic_depvary_step10_batch_yyy10.pl,a6,yes,yes,no
92,exp_acyclic_depvary_step10_batch_yyy10.pl,v2,no,no,yes
93,exp_acyclic_depvary_step10_batch_yyy10.pl,x3,yes,yes,no
94,exp_acyclic_depvary_step10_batch_yyy10.pl,x2,no,no,yes
95,exp_acyclic_depvary_step10_batch_yyy10.pl,y3,no,no,yes
96,exp_acyclic_depvary_step10_batch_yyy10.pl,b5,no,no,no
97,exp_acyclic_depvary_step10_batch_yyy10.pl,e3,yes,yes,no
98,exp_acyclic_depvary_step10_batch_yyy10.pl,x1,yes,yes,no
99,exp_acyclic_depvary_step10_batch_yyy10.pl,r3,no,no,no
100,exp_acyclic_depvary_step1_batch_yyy01.pl,u5,no,no,yes
101,exp_acyclic_depvary_step1_batch_yyy01.pl,s4,no,no,yes
102,exp_acyclic_depvary_step1_batch_yyy01.pl,d3,no,no,yes
103,exp_acyclic_depvary_step1_batch_yyy01.pl,q5,no,no,yes
104,exp_acyclic_depvary_step1_batch_yyy01.pl,z4,no,no,yes
105,exp_acyclic_depvary_step1_batch_yyy01.pl,s1,yes,yes,no
106,exp_acyclic_depvary_step1_batch_yyy01.pl,z3,no,no,yes
107,exp_acyclic_depvary_step1_batch_yyy01.pl,u2,no,no,yes
108,exp_acyclic_depvary_step1_batch_yyy01.pl,c5,no,no,yes
109,exp_acyclic_depvary_step1_batch_yyy01.pl,b1,no,no,no
110,exp_acyclic_depvary_step1_batch_yyy02.pl,y4,no,no,yes
111,exp_acyclic_depvary_step1_batch_yyy02.pl,z5,no,no,yes
112,exp_acyclic_depvary_step1_batch_yyy02.pl,x3,no,no,yes
113,exp_acyclic_depvary_step1_batch_yyy02.pl,q4,no,no,yes
114,exp_acyclic_depvary_step1_batch_yyy02.pl,x2,no,no,yes
115,exp_acyclic_depvary_step1_batch_yyy02.pl,c6,no,no,yes
116,exp_acyclic_depvary_step1_batch_yyy02.pl,d2,no,no,yes
117,exp_acyclic_depvary_step1_batch_yyy02.pl,y2,no,no,yes
118,exp_acyclic_depvary_step1_batch_yyy02.pl,e2,no,no,yes
119,exp_acyclic_depvary_step1_batch_yyy02.pl,q2,no,no,yes
120,exp_acyclic_depvary_step1_batch_yyy03.pl,u4,no,no,yes
121,exp_acyclic_depvary_step1_batch_yyy03.pl,b1,no,no,no
122,exp_acyclic_depvary_step1_batch_yyy03.pl,x2,no,no,yes
123,exp_acyclic_depvary_step1_batch_yyy03.pl,r5,no,no,yes
124,exp_acyclic_depvary_step1_batch_yyy03.pl,x4,no,no,yes
125,exp_acyclic_depvary_step1_batch_yyy03.pl,q2,no,no,yes
126,exp_acyclic_depvary_step1_batch_yyy03.pl,c6,no,no,yes
127,exp_acyclic_depvary_step1_batch_yyy03.pl,z2,no,no,yes
128,exp_acyclic_depvary_step1_batch_yyy03.pl,v4,no,no,yes
129,exp_acyclic_depvary_step1_batch_yyy03.pl,e3,no,no,yes
130,exp_acyclic_depvary_step1_batch_yyy04.pl,u4,no,no,yes
131,exp_acyclic_depvary_step1_batch_yyy04.pl,p3,no,no,yes
132,exp_acyclic_depvary_step1_batch_yyy04.pl,v4,no,no,yes
133,exp_acyclic_depvary_step1_batch_yyy04.pl,r1,yes,yes,no
134,exp_acyclic_depvary_step1_batch_yyy04.pl,a3,no,no,yes
135,exp_acyclic_depvary_step1_batch_yyy04.pl,p1,yes,yes,no
136,exp_acyclic_depvary_step1_batch_yyy04.pl,p5,no,no,yes
137,exp_acyclic_depvary_step1_batch_yyy04.pl,x3,no,no,yes
138,exp_acyclic_depvary_step1_batch_yyy04.pl,r2,no,no,yes
139,exp_acyclic_depvary_step1_batch_yyy04.pl,b6,no,no,yes
140,exp_acyclic_depvary_step1_batch_yyy05.pl,v2,no,no,yes
141,exp_acyclic_depvary_step1_batch_yyy05.pl,x3,no,no,yes
142,exp_acyclic_depvary_step1_batch_yyy05.pl,f1,no,no,no
143,exp_acyclic_depvary_step1_batch_yyy05.pl,q5,no,no,yes
144,exp_acyclic_depvary_step1_batch_yyy05.pl,w4,no,no,yes
145,exp_acyclic_depvary_step1_batch_yyy05.pl,x5,no,no,yes
146,exp_acyclic_depvary_step1_batch_yyy05.pl,y2,no,no,yes
147,exp_acyclic_depvary_step1_batch_yyy05.pl,q2,no,no,yes
148,exp_acyclic_depvary_step1_batch_yyy05.pl,v4,no,no,yes
149,exp_acyclic_depvary_step1_batch_yyy05.pl,e3,no,no,yes
150,exp_acyclic_depvary_step1_batch_yyy06.pl,b2,no,no,yes
151,exp_acyclic_depvary_step1_batch_yyy06.pl,w5,no,no,yes
152,exp_acyclic_depvary_step1_batch_yyy06.pl,s5,no,no,yes
153,exp_acyclic_depvary_step1_batch_yyy06.pl,q4,no,no,yes
154,exp_acyclic_depvary_step1_batch_yyy06.pl,w4,no,no,yes
155,exp_acyclic_depvary_step1_batch_yyy06.pl,r4,no,no,yes
156,exp_acyclic_depvary_step1_batch_yyy06.pl,b6,no,no,yes
157,exp_acyclic_depvary_step1_batch_yyy06.pl,d1,yes,yes,no
158,exp_acyclic_depvary_step1_batch_yyy06.pl,z1,no,no,yes
159,exp_acyclic_depvary_step1_batch_yyy06.pl,b1,yes,yes,no
160,exp_acyclic_depvary_step1_batch_yyy07.pl,c4,no,no,yes
161,exp_acyclic_depvary_step1_batch_yyy07.pl,v5,no,no,yes
162,exp_acyclic_depvary_step1_batch_yyy07.pl,z4,no,no,yes
163,exp_acyclic_depvary_step1_batch_yyy07.pl,s1,yes,yes,no
164,exp_acyclic_depvary_step1_batch_yyy07.pl,q1,yes,yes,no
165,exp_acyclic_depvary_step1_batch_yyy07.pl,x4,no,no,yes
166,exp_acyclic_depvary_step1_batch_yyy07.pl,f1,no,no,no
167,exp_acyclic_depvary_step1_batch_yyy07.pl,e5,no,no,yes
168,exp_acyclic_depvary_step1_batch_yyy07.pl,t2,no,no,yes
169,exp_acyclic_depvary_step1_batch_yyy07.pl,z2,no,no,yes
170,exp_acyclic_depvary_step1_batch_yyy08.pl,t5,no,no,yes
171,exp_acyclic_depvary_step1_batch_yyy08.pl,y4,no,no,yes
172,exp_acyclic_depvary_step1_batch_yyy08.pl,w2,no,no,yes
173,exp_acyclic_depvary_step1_batch_yyy08.pl,f5,no,no,yes
174,exp_acyclic_depvary_step1_batch_yyy08.pl,e3,no,no,yes
175,exp_acyclic_depvary_step1_batch_yyy08.pl,d2,no,no,yes
176,exp_acyclic_depvary_step1_batch_yyy08.pl,v3,no,no,yes
177,exp_acyclic_depvary_step1_batch_yyy08.pl,f2,no,no,yes
178,exp_acyclic_depvary_step1_batch_yyy08.pl,f4,no,no,yes
179,exp_acyclic_depvary_step1_batch_yyy08.pl,a3,no,no,yes
180,exp_acyclic_depvary_step1_batch_yyy09.pl,t4,no,no,yes
181,exp_acyclic_depvary_step1_batch_yyy09.pl,b3,no,no,yes
182,exp_acyclic_depvary_step1_batch_yyy09.pl,d3,no,no,yes
183,exp_acyclic_depvary_step1_batch_yyy09.pl,x5,no,no,yes
184,exp_acyclic_depvary_step1_batch_yyy09.pl,r1,yes,yes,no
185,exp_acyclic_depvary_step1_batch_yyy09.pl,q3,no,no,yes
186,exp_acyclic_depvary_step1_batch_yyy09.pl,e3,no,no,yes
187,exp_acyclic_depvary_step1_batch_yyy09.pl,r4,no,no,yes
188,exp_acyclic_depvary_step1_batch_yyy09.pl,e2,no,no,yes
189,exp_acyclic_depvary_step1_batch_yyy09.pl,r3,no,no,yes
190,exp_acyclic_depvary_step1_batch_yyy10.pl,c4,no,no,yes
191,exp_acyclic_depvary_step1_batch_yyy10.pl,d4,no,no,yes
192,exp_acyclic_depvary_step1_batch_yyy10.pl,b1,yes,yes,no
193,exp_acyclic_depvary_step1_batch_yyy10.pl,a4,no,no,yes
194,exp_acyclic_depvary_step1_batch_yyy10.pl,y3,no,no,yes
195,exp_acyclic_depvary_step1_batch_yyy10.pl,e3,no,no,yes
196,exp_acyclic_depvary_step1_batch_yyy10.pl,r3,no,no,yes
197,exp_acyclic_depvary_step1_batch_yyy10.pl,f2,no,no,yes
198,exp_acyclic_depvary_step1_batch_yyy10.pl,q3,no,no,yes
199,exp_acyclic_depvary_step1_batch_yyy10.pl,y2,no,no,yes
200,exp_acyclic_depvary_step2_batch_yyy01.pl,b2,no,no,no
201,exp_acyclic_depvary_step2_batch_yyy01.pl,e1,yes,no,no
202,exp_acyclic_depvary_step2_batch_yyy01.pl,e5,no,no,yes
203,exp_acyclic_depvary_step2_batch_yyy01.pl,c5,no,no,yes
204,exp_acyclic_depvary_step2_batch_yyy01.pl,z4,no,no,yes
205,exp_acyclic_depvary_step2_batch_yyy01.pl,c1,no,no,no
206,exp_acyclic_depvary_step2_batch_yyy01.pl,p1,no,no,no
207,exp_acyclic_depvary_step2_batch_yyy01.pl,y5,no,no,yes
208,exp_acyclic_depvary_step2_batch_yyy01.pl,a6,no,no,yes
209,exp_acyclic_depvary_step2_batch_yyy01.pl,s4,no,no,yes
210,exp_acyclic_depvary_step2_batch_yyy02.pl,z5,no,no,yes
211,exp_acyclic_depvary_step2_batch_yyy02.pl,e5,no,no,yes
212,exp_acyclic_depvary_step2_batch_yyy02.pl,s5,no,no,yes
213,exp_acyclic_depvary_step2_batch_yyy02.pl,p2,yes,yes,no
214,exp_acyclic_depvary_step2_batch_yyy02.pl,a1,no,no,no
215,exp_acyclic_depvary_step2_batch_yyy02.pl,q2,no,no,no
216,exp_acyclic_depvary_step2_batch_yyy02.pl,d3,no,no,yes
217,exp_acyclic_depvary_step2_batch_yyy02.pl,u4,no,no,yes
218,exp_acyclic_depvary_step2_batch_yyy02.pl,w1,no,no,yes
219,exp_acyclic_depvary_step2_batch_yyy02.pl,p3,no,no,yes
220,exp_acyclic_depvary_step2_batch_yyy03.pl,d5,no,no,yes
221,exp_acyclic_depvary_step2_batch_yyy03.pl,p5,no,no,yes
222,exp_acyclic_depvary_step2_batch_yyy03.pl,v5,no,no,yes
223,exp_acyclic_depvary_step2_batch_yyy03.pl,f5,no,no,yes
224,exp_acyclic_depvary_step2_batch_yyy03.pl,p3,no,no,yes
225,exp_acyclic_depvary_step2_batch_yyy03.pl,u3,no,no,yes
226,exp_acyclic_depvary_step2_batch_yyy03.pl,y2,no,no,yes
227,exp_acyclic_depvary_step2_batch_yyy03.pl,d1,yes,yes,no
228,exp_acyclic_depvary_step2_batch_yyy03.pl,y3,no,no,yes
229,exp_acyclic_depvary_step2_batch_yyy03.pl,r5,no,no,yes
230,exp_acyclic_depvary_step2_batch_yyy04.pl,e1,no,no,no
231,exp_acyclic_depvary_step2_batch_yyy04.pl,f1,yes,yes,no
232,exp_acyclic_depvary_step2_batch_yyy04.pl,v5,no,no,yes
233,exp_acyclic_depvary_step2_batch_yyy04.pl,q5,no,no,yes
234,exp_acyclic_depvary_step2_batch_yyy04.pl,v1,yes,yes,no
235,exp_acyclic_depvary_step2_batch_yyy04.pl,c6,no,no,yes
236,exp_acyclic_depvary_step2_batch_yyy04.pl,a6,no,no,yes
237,exp_acyclic_depvary_step2_batch_yyy04.pl,y4,no,no,yes
238,exp_acyclic_depvary_step2_batch_yyy04.pl,e2,no,no,yes
239,exp_acyclic_depvary_step2_batch_yyy04.pl,u2,no,no,yes
240,exp_acyclic_depvary_step2_batch_yyy05.pl,b2,no,no,no
241,exp_acyclic_depvary_step2_batch_yyy05.pl,y4,no,no,yes
242,exp_acyclic_depvary_step2_batch_yyy05.pl,e1,yes,no,no
243,exp_acyclic_depvary_step2_batch_yyy05.pl,f1,yes,no,no
244,exp_acyclic_depvary_step2_batch_yyy05.pl,w5,no,no,yes
245,exp_acyclic_depvary_step2_batch_yyy05.pl,q4,no,no,yes
246,exp_acyclic_depvary_step2_batch_yyy05.pl,y3,no,no,yes
247,exp_acyclic_depvary_step2_batch_yyy05.pl,f4,no,no,yes
248,exp_acyclic_depvary_step2_batch_yyy05.pl,z1,yes,no,no
249,exp_acyclic_depvary_step2_batch_yyy05.pl,b1,yes,no,no
250,exp_acyclic_depvary_step2_batch_yyy06.pl,c3,no,no,yes
251,exp_acyclic_depvary_step2_batch_yyy06.pl,u1,yes,yes,no
252,exp_acyclic_depvary_step2_batch_yyy06.pl,d3,no,no,yes
253,exp_acyclic_depvary_step2_batch_yyy06.pl,q4,no,no,yes
254,exp_acyclic_depvary_step2_batch_yyy06.pl,x2,no,no,yes
255,exp_acyclic_depvary_step2_batch_yyy06.pl,x5,no,no,yes
256,exp_acyclic_depvary_step2_batch_yyy06.pl,a1,yes,yes,no
257,exp_acyclic_depvary_step2_batch_yyy06.pl,x4,no,no,yes
258,exp_acyclic_depvary_step2_batch_yyy06.pl,p5,no,no,yes
259,exp_acyclic_depvary_step2_batch_yyy06.pl,x3,no,no,yes
260,exp_acyclic_depvary_step2_batch_yyy07.pl,d5,no,no,yes
261,exp_acyclic_depvary_step2_batch_yyy07.pl,f1,yes,yes,no
262,exp_acyclic_depvary_step2_batch_yyy07.pl,w5,no,no,yes
263,exp_acyclic_depvary_step2_batch_yyy07.pl,y3,no,no,yes
264,exp_acyclic_depvary_step2_batch_yyy07.pl,x1,yes,yes,no
265,exp_acyclic_depvary_step2_batch_yyy07.pl,f2,no,no,yes
266,exp_acyclic_depvary_step2_batch_yyy07.pl,c5,no,no,yes
267,exp_acyclic_depvary_step2_batch_yyy07.pl,a5,no,no,yes
268,exp_acyclic_depvary_step2_batch_yyy07.pl,d1,no,no,no
269,exp_acyclic_depvary_step2_batch_yyy07.pl,t1,yes,yes,no
270,exp_acyclic_depvary_step2_batch_yyy08.pl,s3,no,no,yes
271,exp_acyclic_depvary_step2_batch_yyy08.pl,x3,no,no,yes
272,exp_acyclic_depvary_step2_batch_yyy08.pl,s5,no,no,yes
273,exp_acyclic_depvary_step2_batch_yyy08.pl,p3,no,no,yes
274,exp_acyclic_depvary_step2_batch_yyy08.pl,d2,no,no,yes
275,exp_acyclic_depvary_step2_batch_yyy08.pl,z3,no,no,yes
276,exp_acyclic_depvary_step2_batch_yyy08.pl,y2,no,no,yes
277,exp_acyclic_depvary_step2_batch_yyy08.pl,c6,no,no,yes
278,exp_acyclic_depvary_step2_batch_yyy08.pl,z2,no,no,yes
279,exp_acyclic_depvary_step2_batch_yyy08.pl,b5,no,no,yes
280,exp_acyclic_depvary_step2_batch_yyy09.pl,u5,no,no,yes
281,exp_acyclic_depvary_step2_batch_yyy09.pl,t4,no,no,yes
282,exp_acyclic_depvary_step2_batch_yyy09.pl,b2,no,no,no
283,exp_acyclic_depvary_step2_batch_yyy09.pl,b3,no,no,yes
284,exp_acyclic_depvary_step2_batch_yyy09.pl,p4,no,no,yes
285,exp_acyclic_depvary_step2_batch_yyy09.pl,b4,no,no,yes
286,exp_acyclic_depvary_step2_batch_yyy09.pl,z1,no,no,yes
287,exp_acyclic_depvary_step2_batch_yyy09.pl,w4,no,no,yes
288,exp_acyclic_depvary_step2_batch_yyy09.pl,d1,yes,yes,no
289,exp_acyclic_depvary_step2_batch_yyy09.pl,x4,no,no,yes
290,exp_acyclic_depvary_step2_batch_yyy10.pl,u5,no,no,yes
291,exp_acyclic_depvary_step2_batch_yyy10.pl,d4,no,no,yes
292,exp_acyclic_depvary_step2_batch_yyy10.pl,t3,no,no,yes
293,exp_acyclic_depvary_step2_batch_yyy10.pl,v4,no,no,yes
294,exp_acyclic_depvary_step2_batch_yyy10.pl,f4,no,no,yes
295,exp_acyclic_depvary_step2_batch_yyy10.pl,r2,yes,yes,no
296,exp_acyclic_depvary_step2_batch_yyy10.pl,v2,no,no,yes
297,exp_acyclic_depvary_step2_batch_yyy10.pl,e1,no,no,no
298,exp_acyclic_depvary_step2_batch_yyy10.pl,s1,yes,yes,no
299,exp_acyclic_depvary_step2_batch_yyy10.pl,d2,no,no,yes
300,exp_acyclic_depvary_step3_batch_yyy01.pl,u1,yes,yes,no
301,exp_acyclic_depvary_step3_batch_yyy01.pl,c2,no,no,no
302,exp_acyclic_depvary_step3_batch_yyy01.pl,a4,no,no,yes
303,exp_acyclic_depvary_step3_batch_yyy01.pl,y1,yes,yes,no
304,exp_acyclic_depvary_step3_batch_yyy01.pl,q1,yes,yes,no
305,exp_acyclic_depvary_step3_batch_yyy01.pl,a2,no,no,no
306,exp_acyclic_depvary_step3_batch_yyy01.pl,s5,no,no,yes
307,exp_acyclic_depvary_step3_batch_yyy01.pl,b4,no,no,yes
308,exp_acyclic_depvary_step3_batch_yyy01.pl,z3,no,no,yes
309,exp_acyclic_depvary_step3_batch_yyy01.pl,a3,no,no,yes
310,exp_acyclic_depvary_step3_batch_yyy02.pl,d5,no,no,yes
311,exp_acyclic_depvary_step3_batch_yyy02.pl,z5,no,no,yes
312,exp_acyclic_depvary_step3_batch_yyy02.pl,b4,no,no,yes
313,exp_acyclic_depvary_step3_batch_yyy02.pl,c2,yes,yes,no
314,exp_acyclic_depvary_step3_batch_yyy02.pl,r5,no,no,yes
315,exp_acyclic_depvary_step3_batch_yyy02.pl,r1,yes,yes,no
316,exp_acyclic_depvary_step3_batch_yyy02.pl,p2,yes,yes,no
317,exp_acyclic_depvary_step3_batch_yyy02.pl,e2,yes,yes,no
318,exp_acyclic_depvary_step3_batch_yyy02.pl,d1,yes,yes,no
319,exp_acyclic_depvary_step3_batch_yyy02.pl,q1,no,no,no
320,exp_acyclic_depvary_step3_batch_yyy03.pl,p4,no,no,yes
321,exp_acyclic_depvary_step3_batch_yyy03.pl,u4,no,no,yes
322,exp_acyclic_depvary_step3_batch_yyy03.pl,z1,no,no,yes
323,exp_acyclic_depvary_step3_batch_yyy03.pl,c6,no,no,yes
324,exp_acyclic_depvary_step3_batch_yyy03.pl,y1,no,no,yes
325,exp_acyclic_depvary_step3_batch_yyy03.pl,y2,no,no,yes
326,exp_acyclic_depvary_step3_batch_yyy03.pl,e2,no,no,no
327,exp_acyclic_depvary_step3_batch_yyy03.pl,r3,no,no,yes
328,exp_acyclic_depvary_step3_batch_yyy03.pl,f2,no,no,no
329,exp_acyclic_depvary_step3_batch_yyy03.pl,q2,no,no,no
330,exp_acyclic_depvary_step3_batch_yyy04.pl,t5,no,no,yes
331,exp_acyclic_depvary_step3_batch_yyy04.pl,s4,no,no,yes
332,exp_acyclic_depvary_step3_batch_yyy04.pl,u4,no,no,yes
333,exp_acyclic_depvary_step3_batch_yyy04.pl,c5,no,no,yes
334,exp_acyclic_depvary_step3_batch_yyy04.pl,e4,no,no,yes
335,exp_acyclic_depvary_step3_batch_yyy04.pl,w1,no,no,no
336,exp_acyclic_depvary_step3_batch_yyy04.pl,s1,yes,yes,no
337,exp_acyclic_depvary_step3_batch_yyy04.pl,z3,no,no,yes
338,exp_acyclic_depvary_step3_batch_yyy04.pl,r3,no,no,yes
339,exp_acyclic_depvary_step3_batch_yyy04.pl,q2,yes,yes,no
340,exp_acyclic_depvary_step3_batch_yyy05.pl,e1,yes,yes,no
341,exp_acyclic_depvary_step3_batch_yyy05.pl,f1,yes,yes,no
342,exp_acyclic_depvary_step3_batch_yyy05.pl,c5,no,no,yes
343,exp_acyclic_depvary_step3_batch_yyy05.pl,r4,no,no,yes
344,exp_acyclic_depvary_step3_batch_yyy05.pl,a3,no,no,yes
345,exp_acyclic_depvary_step3_batch_yyy05.pl,x1,yes,yes,no
346,exp_acyclic_depvary_step3_batch_yyy05.pl,s5,no,no,yes
347,exp_acyclic_depvary_step3_batch_yyy05.pl,b4,no,no,yes
348,exp_acyclic_depvary_step3_batch_yyy05.pl,r5,no,no,yes
349,exp_acyclic_depvary_step3_batch_yyy05.pl,e4,no,no,yes
350,exp_acyclic_depvary_step3_batch_yyy06.pl,c4,no,no,yes
351,exp_acyclic_depvary_step3_batch_yyy06.pl,u4,no,no,yes
352,exp_acyclic_depvary_step3_batch_yyy06.pl,a1,no,no,no
353,exp_acyclic_depvary_step3_batch_yyy06.pl,u2,no,no,yes
354,exp_acyclic_depvary_step3_batch_yyy06.pl,x4,no,no,yes
355,exp_acyclic_depvary_step3_batch_yyy06.pl,z5,no,no,yes
356,exp_acyclic_depvary_step3_batch_yyy06.pl,e1,yes,yes,no
357,exp_acyclic_depvary_step3_batch_yyy06.pl,x5,no,no,yes
358,exp_acyclic_depvary_step3_batch_yyy06.pl,c6,no,no,yes
359,exp_acyclic_depvary_step3_batch_yyy06.pl,b5,no,no,yes
360,exp_acyclic_depvary_step3_batch_yyy07.pl,w2,no,no,yes
361,exp_acyclic_depvary_step3_batch_yyy07.pl,q5,no,no,yes
362,exp_acyclic_depvary_step3_batch_yyy07.pl,c2,yes,yes,no
363,exp_acyclic_depvary_step3_batch_yyy07.pl,x2,yes,yes,no
364,exp_acyclic_depvary_step3_batch_yyy07.pl,e4,no,no,yes
365,exp_acyclic_depvary_step3_batch_yyy07.pl,a1,yes,yes,no
