Unnamed: 0,instance,goal,adm_result,stb_result,is_trivial
117,exp_acyclic_depvary_step1_batch_yyy02.pl,y2,no,no,yes
118,exp_acyclic_depvary_step1_batch_yyy02.pl,e2,no,no,yes
119,exp_acyclic_depvary_step1_batch_yyy02.pl,q2,no,no,yes
120,exp_acyclic_depvary_step1_batch_yyy03.pl,u4,no,no,yes
122,exp_acyclic_depvary_step1_batch_yyy03.pl,x2,no,no,yes
123,exp_acyclic_depvary_step1_batch_yyy03.pl,r5,no,no,yes
124,exp_acyclic_depvary_step1_batch_yyy03.pl,x4,no,no,yes
125,exp_acyclic_depvary_step1_batch_yyy03.pl,q2,no,no,yes
126,exp_acyclic_depvary_step1_batch_yyy03.pl,c6,no,no,yes
127,exp_acyclic_depvary_step1_batch_yyy03.pl,z2,no,no,yes
128,exp_acyclic_depvary_step1_batch_yyy03.pl,v4,no,no,yes
129,exp_acyclic_depvary_step1_batch_yyy03.pl,e3,no,no,yes
130,exp_acyclic_depvary_step1_batch_yyy04.pl,u4,no,no,yes
131,exp_acyclic_depvary_step1_batch_yyy04.pl,p3,no,no,yes
132,exp_acyclic_depvary_step1_batch_yyy04.pl,v4,no,no,yes
134,exp_acyclic_depvary_step1_batch_yyy04.pl,a3,no,no,yes
136,exp_acyclic_depvary_step1_batch_yyy04.pl,p5,no,no,yes
137,exp_acyclic_depvary_step1_batch_yyy04.pl,x3,no,no,yes
138,exp_acyclic_depvary_step1_batch_yyy04.pl,r2,no,no,yes
139,exp_acyclic_depvary_step1_batch_yyy04.pl,b6,no,no,yes
140,exp_acyclic_depvary_step1_batch_yyy05.pl,v2,no,no,yes
141,exp_acyclic_depvary_step1_batch_yyy05.pl,x3,no,no,yes
143,exp_acyclic_depvary_step1_batch_yyy05.pl,q5,no,no,yes
144,exp_acyclic_depvary_step1_batch_yyy05.pl,w4,no,no,yes
145,exp_acyclic_depvary_step1_batch_yyy05.pl,x5,no,no,yes
146,exp_acyclic_depvary_step1_batch_yyy05.pl,y2,no,no,yes
147,exp_acyclic_depvary_step1_batch_yyy05.pl,q2,no,no,yes
148,exp_acyclic_depvary_step1_batch_yyy05.pl,v4,no,no,yes
149,exp_acyclic_depvary_step1_batch_yyy05.pl,e3,no,no,yes
150,exp_acyclic_depvary_step1_batch_yyy06.pl,b2,no,no,yes
151,exp_acyclic_depvary_step1_batch_yyy06.pl,w5,no,no,yes
152,exp_acyclic_depvary_step1_batch_yyy06.pl,s5,no,no,yes
153,exp_acyclic_depvary_step1_batch_yyy06.pl,q4,no,no,yes
154,exp_acyclic_depvary_step1_batch_yyy06.pl,w4,no,no,yes
155,exp_acyclic_depvary_step1_batch_yyy06.pl,r4,no,no,yes
156,exp_acyclic_depvary_step1_batch_yyy06.pl,b6,no,no,yes
158,exp_acyclic_depvary_step1_batch_yyy06.pl,z1,no,no,yes
160,exp_acyclic_depvary_step1_batch_yyy07.pl,c4,no,no,yes
161,exp_acyclic_depvary_step1_batch_yyy07.pl,v5,no,no,yes
162,exp_acyclic_depvary_step1_batch_yyy07.pl,z4,no,no,yes
165,exp_acyclic_depvary_step1_batch_yyy07.pl,x4,no,no,yes
167,exp_acyclic_depvary_step1_batch_yyy07.pl,e5,no,no,yes
168,exp_acyclic_depvary_step1_batch_yyy07.pl,t2,no,no,yes
169,exp_acyclic_depvary_step1_batch_yyy07.pl,z2,no,no,yes
170,exp_acyclic_depvary_step1_batch_yyy08.pl,t5,no,no,yes
171,exp_acyclic_depvary_step1_batch_yyy08.pl,y4,no,no,yes
172,exp_acyclic_depvary_step1_batch_yyy08.pl,w2,no,no,yes
173,exp_acyclic_depvary_step1_batch_yyy08.pl,f5,no,no,yes
174,exp_acyclic_depvary_step1_batch_yyy08.pl,e3,no,no,yes
175,exp_acyclic_depvary_step1_batch_yyy08.pl,d2,no,no,yes
176,exp_acyclic_depvary_step1_batch_yyy08.pl,v3,no,no,yes
177,exp_acyclic_depvary_step1_batch_yyy08.pl,f2,no,no,yes
178,exp_acyclic_depvary_step1_batch_yyy08.pl,f4,no,no,yes
179,exp_acyclic_depvary_step1_batch_yyy08.pl,a3,no,no,yes
180,exp_acyclic_depvary_step1_batch_yyy09.pl,t4,no,no,yes
181,exp_acyclic_depvary_step1_batch_yyy09.pl,b3,no,no,yes
182,exp_acyclic_depvary_step1_batch_yyy09.pl,d3,no,no,yes
183,exp_acyclic_depvary_step1_batch_yyy09.pl,x5,no,no,yes
185,exp_acyclic_depvary_step1_batch_yyy09.pl,q3,no,no,yes
186,exp_acyclic_depvary_step1_batch_yyy09.pl,e3,no,no,yes
187,exp_acyclic_depvary_step1_batch_yyy09.pl,r4,no,no,yes
188,exp_acyclic_depvary_step1_batch_yyy09.pl,e2,no,no,yes
189,exp_acyclic_depvary_step1_batch_yyy09.pl,r3,no,no,yes
190,exp_acyclic_depvary_step1_batch_yyy10.pl,c4,no,no,yes
191,exp_acyclic_depvary_step1_batch_yyy10.pl,d4,no,no,yes
193,exp_acyclic_depvary_step1_batch_yyy10.pl,a4,no,no,yes
194,exp_acyclic_depvary_step1_batch_yyy10.pl,y3,no,no,yes
195,exp_acyclic_depvary_step1_batch_yyy10.pl,e3,no,no,yes
196,exp_acyclic_depvary_step1_batch_yyy10.pl,r3,no,no,yes
197,exp_acyclic_depvary_step1_batch_yyy10.pl,f2,no,no,yes
198,exp_acyclic_depvary_step1_batch_yyy10.pl,q3,no,no,yes
199,exp_acyclic_depvary_step1_batch_yyy10.pl,y2,no,no,yes
202,exp_acyclic_depvary_step2_batch_yyy01.pl,e5,no,no,yes
203,exp_acyclic_depvary_step2_batch_yyy01.pl,c5,no,no,yes
204,exp_acyclic_depvary_step2_batch_yyy01.pl,z4,no,no,yes
207,exp_acyclic_depvary_step2_batch_yyy01.pl,y5,no,no,yes
208,exp_acyclic_depvary_step2_batch_yyy01.pl,a6,no,no,yes
209,exp_acyclic_depvary_step2_batch_yyy01.pl,s4,no,no,yes
210,exp_acyclic_depvary_step2_batch_yyy02.pl,z5,no,no,yes
211,exp_acyclic_depvary_step2_batch_yyy02.pl,e5,no,no,yes
212,exp_acyclic_depvary_step2_batch_yyy02.pl,s5,no,no,yes
216,exp_acyclic_depvary_step2_batch_yyy02.pl,d3,no,no,yes
217,exp_acyclic_depvary_step2_batch_yyy02.pl,u4,no,no,yes
218,exp_acyclic_depvary_step2_batch_yyy02.pl,w1,no,no,yes
219,exp_acyclic_depvary_step2_batch_yyy02.pl,p3,no,no,yes
220,exp_acyclic_depvary_step2_batch_yyy03.pl,d5,no,no,yes
221,exp_acyclic_depvary_step2_batch_yyy03.pl,p5,no,no,yes
222,exp_acyclic_depvary_step2_batch_yyy03.pl,v5,no,no,yes
223,exp_acyclic_depvary_step2_batch_yyy03.pl,f5,no,no,yes
224,exp_acyclic_depvary_step2_batch_yyy03.pl,p3,no,no,yes
225,exp_acyclic_depvary_step2_batch_yyy03.pl,u3,no,no,yes
226,exp_acyclic_depvary_step2_batch_yyy03.pl,y2,no,no,yes
228,exp_acyclic_depvary_step2_batch_yyy03.pl,y3,no,no,yes
229,exp_acyclic_depvary_step2_batch_yyy03.pl,r5,no,no,yes
232,exp_acyclic_depvary_step2_batch_yyy04.pl,v5,no,no,yes
233,exp_acyclic_depvary_step2_batch_yyy04.pl,q5,no,no,yes
235,exp_acyclic_depvary_step2_batch_yyy04.pl,c6,no,no,yes
236,exp_acyclic_depvary_step2_batch_yyy04.pl,a6,no,no,yes
237,exp_acyclic_depvary_step2_batch_yyy04.pl,y4,no,no,yes
238,exp_acyclic_depvary_step2_batch_yyy04.pl,e2,no,no,yes
239,exp_acyclic_depvary_step2_batch_yyy04.pl,u2,no,no,yes
241,exp_acyclic_depvary_step2_batch_yyy05.pl,y4,no,no,yes
244,exp_acyclic_depvary_step2_batch_yyy05.pl,w5,no,no,yes
245,exp_acyclic_depvary_step2_batch_yyy05.pl,q4,no,no,yes
246,exp_acyclic_depvary_step2_batch_yyy05.pl,y3,no,no,yes
247,exp_acyclic_depvary_step2_batch_yyy05.pl,f4,no,no,yes
250,exp_acyclic_depvary_step2_batch_yyy06.pl,c3,no,no,yes
252,exp_acyclic_depvary_step2_batch_yyy06.pl,d3,no,no,yes
253,exp_acyclic_depvary_step2_batch_yyy06.pl,q4,no,no,yes
254,exp_acyclic_depvary_step2_batch_yyy06.pl,x2,no,no,yes
255,exp_acyclic_depvary_step2_batch_yyy06.pl,x5,no,no,yes
257,exp_acyclic_depvary_step2_batch_yyy06.pl,x4,no,no,yes
258,exp_acyclic_depvary_step2_batch_yyy06.pl,p5,no,no,yes
259,exp_acyclic_depvary_step2_batch_yyy06.pl,x3,no,no,yes
260,exp_acyclic_depvary_step2_batch_yyy07.pl,d5,no,no,yes
262,exp_acyclic_depvary_step2_batch_yyy07.pl,w5,no,no,yes
263,exp_acyclic_depvary_step2_batch_yyy07.pl,y3,no,no,yes
265,exp_acyclic_depvary_step2_batch_yyy07.pl,f2,no,no,yes
266,exp_acyclic_depvary_step2_batch_yyy07.pl,c5,no,no,yes
267,exp_acyclic_depvary_step2_batch_yyy07.pl,a5,no,no,yes
270,exp_acyclic_depvary_step2_batch_yyy08.pl,s3,no,no,yes
271,exp_acyclic_depvary_step2_batch_yyy08.pl,x3,no,no,yes
272,exp_acyclic_depvary_step2_batch_yyy08.pl,s5,no,no,yes
273,exp_acyclic_depvary_step2_batch_yyy08.pl,p3,no,no,yes
274,exp_acyclic_depvary_step2_batch_yyy08.pl,d2,no,no,yes
275,exp_acyclic_depvary_step2_batch_yyy08.pl,z3,no,no,yes
276,exp_acyclic_depvary_step2_batch_yyy08.pl,y2,no,no,yes
277,exp_acyclic_depvary_step2_batch_yyy08.pl,c6,no,no,yes
278,exp_acyclic_depvary_step2_batch_yyy08.pl,z2,no,no,yes
279,exp_acyclic_depvary_step2_batch_yyy08.pl,b5,no,no,yes
280,exp_acyclic_depvary_step2_batch_yyy09.pl,u5,no,no,yes
281,exp_acyclic_depvary_step2_batch_yyy09.pl,t4,no,no,yes
283,exp_acyclic_depvary_step2_batch_yyy09.pl,b3,no,no,yes
284,exp_acyclic_depvary_step2_batch_yyy09.pl,p4,no,no,yes
285,exp_acyclic_depvary_step2_batch_yyy09.pl,b4,no,no,yes
286,exp_acyclic_depvary_step2_batch_yyy09.pl,z1,no,no,yes
287,exp_acyclic_depvary_step2_batch_yyy09.pl,w4,no,no,yes
289,exp_acyclic_depvary_step2_batch_yyy09.pl,x4,no,no,yes
290,exp_acyclic_depvary_step2_batch_yyy10.pl,u5,no,no,yes
291,exp_acyclic_depvary_step2_batch_yyy10.pl,d4,no,no,yes
292,exp_acyclic_depvary_step2_batch_yyy10.pl,t3,no,no,yes
293,exp_acyclic_depvary_step2_batch_yyy10.pl,v4,no,no,yes
294,exp_acyclic_depvary_step2_batch_yyy10.pl,f4,no,no,yes
296,exp_acyclic_depvary_step2_batch_yyy10.pl,v2,no,no,yes
299,exp_acyclic_depvary_step2_batch_yyy10.pl,d2,no,no,yes
302,exp_acyclic_depvary_step3_batch_yyy01.pl,a4,no,no,yes
306,exp_acyclic_depvary_step3_batch_yyy01.pl,s5,no,no,yes
307,exp_acyclic_depvary_step3_batch_yyy01.pl,b4,no,no,yes
308,exp_acyclic_depvary_step3_batch_yyy01.pl,z3,no,no,yes
309,exp_acyclic_depvary_step3_batch_yyy01.pl,a3,no,no,yes
310,exp_acyclic_depvary_step3_batch_yyy02.pl,d5,no,no,yes
311,exp_acyclic_depvary_step3_batch_yyy02.pl,z5,no,no,yes
312,exp_acyclic_depvary_step3_batch_yyy02.pl,b4,no,no,yes
314,exp_acyclic_depvary_step3_batch_yyy02.pl,r5,no,no,yes
320,exp_acyclic_depvary_step3_batch_yyy03.pl,p4,no,no,yes
321,exp_acyclic_depvary_step3_batch_yyy03.pl,u4,no,no,yes
322,exp_acyclic_depvary_step3_batch_yyy03.pl,z1,no,no,yes
323,exp_acyclic_depvary_step3_batch_yyy03.pl,c6,no,no,yes
324,exp_acyclic_depvary_step3_batch_yyy03.pl,y1,no,no,yes
325,exp_acyclic_depvary_step3_batch_yyy03.pl,y2,no,no,yes
327,exp_acyclic_depvary_step3_batch_yyy03.pl,r3,no,no,yes
330,exp_acyclic_depvary_step3_batch_yyy04.pl,t5,no,no,yes
331,exp_acyclic_depvary_step3_batch_yyy04.pl,s4,no,no,yes
332,exp_acyclic_depvary_step3_batch_yyy04.pl,u4,no,no,yes
333,exp_acyclic_depvary_step3_batch_yyy04.pl,c5,no,no,yes
334,exp_acyclic_depvary_step3_batch_yyy04.pl,e4,no,no,yes
337,exp_acyclic_depvary_step3_batch_yyy04.pl,z3,no,no,yes
338,exp_acyclic_depvary_step3_batch_yyy04.pl,r3,no,no,yes
342,exp_acyclic_depvary_step3_batch_yyy05.pl,c5,no,no,yes
343,exp_acyclic_depvary_step3_batch_yyy05.pl,r4,no,no,yes
344,exp_acyclic_depvary_step3_batch_yyy05.pl,a3,no,no,yes
346,exp_acyclic_depvary_step3_batch_yyy05.pl,s5,no,no,yes
347,exp_acyclic_depvary_step3_batch_yyy05.pl,b4,no,no,yes
348,exp_acyclic_depvary_step3_batch_yyy05.pl,r5,no,no,yes
349,exp_acyclic_depvary_step3_batch_yyy05.pl,e4,no,no,yes
350,exp_acyclic_depvary_step3_batch_yyy06.pl,c4,no,no,yes
351,exp_acyclic_depvary_step3_batch_yyy06.pl,u4,no,no,yes
353,exp_acyclic_depvary_step3_batch_yyy06.pl,u2,no,no,yes
354,exp_acyclic_depvary_step3_batch_yyy06.pl,x4,no,no,yes
355,exp_acyclic_depvary_step3_batch_yyy06.pl,z5,no,no,yes
357,exp_acyclic_depvary_step3_batch_yyy06.pl,x5,no,no,yes
358,exp_acyclic_depvary_step3_batch_yyy06.pl,c6,no,no,yes
359,exp_acyclic_depvary_step3_batch_yyy06.pl,b5,no,no,yes
360,exp_acyclic_depvary_step3_batch_yyy07.pl,w2,no,no,yes
361,exp_acyclic_depvary_step3_batch_yyy07.pl,q5,no,no,yes
364,exp_acyclic_depvary_step3_batch_yyy07.pl,e4,no,no,yes
366,exp_acyclic_depvary_step3_batch_yyy07.pl,t4,no,no,yes
367,exp_acyclic_depvary_step3_batch_yyy07.pl,s3,no,no,yes
368,exp_acyclic_depvary_step3_batch_yyy07.pl,r3,no,no,yes
369,exp_acyclic_depvary_step3_batch_yyy07.pl,q1,no,no,yes
370,exp_acyclic_depvary_step3_batch_yyy08.pl,d4,no,no,yes
372,exp_acyclic_depvary_step3_batch_yyy08.pl,a5,no,no,yes
373,exp_acyclic_depvary_step3_batch_yyy08.pl,y3,no,no,yes
374,exp_acyclic_depvary_step3_batch_yyy08.pl,c6,no,no,yes
375,exp_acyclic_depvary_step3_batch_yyy08.pl,q3,no,no,yes
376,exp_acyclic_depvary_step3_batch_yyy08.pl,u2,no,no,yes
377,exp_acyclic_depvary_step3_batch_yyy08.pl,y5,no,no,yes
378,exp_acyclic_depvary_step3_batch_yyy08.pl,f4,no,no,yes
379,exp_acyclic_depvary_step3_batch_yyy08.pl,z3,no,no,yes
380,exp_acyclic_depvary_step3_batch_yyy09.pl,b3,no,no,yes
381,exp_acyclic_depvary_step3_batch_yyy09.pl,d4,no,no,yes
382,exp_acyclic_depvary_step3_batch_yyy09.pl,w5,no,no,yes
384,exp_acyclic_depvary_step3_batch_yyy09.pl,a4,no,no,yes
385,exp_acyclic_depvary_step3_batch_yyy09.pl,p3,no,no,yes
386,exp_acyclic_depvary_step3_batch_yyy09.pl,e3,no,no,yes
390,exp_acyclic_depvary_step3_batch_yyy10.pl,s3,no,no,yes
391,exp_acyclic_depvary_step3_batch_yyy10.pl,b3,no,no,yes
394,exp_acyclic_depvary_step3_batch_yyy10.pl,e3,no,no,yes
395,exp_acyclic_depvary_step3_batch_yyy10.pl,u5,no,no,yes
396,exp_acyclic_depvary_step3_batch_yyy10.pl,d5,no,no,yes
398,exp_acyclic_depvary_step3_batch_yyy10.pl,r3,no,no,yes
402,exp_acyclic_depvary_step4_batch_yyy01.pl,d3,no,no,yes
403,exp_acyclic_depvary_step4_batch_yyy01.pl,q5,no,no,yes
405,exp_acyclic_depvary_step4_batch_yyy01.pl,f5,no,no,yes
406,exp_acyclic_depvary_step4_batch_yyy01.pl,w1,no,no,yes
411,exp_acyclic_depvary_step4_batch_yyy02.pl,y3,no,no,yes
413,exp_acyclic_depvary_step4_batch_yyy02.pl,y5,no,no,yes
414,exp_acyclic_depvary_step4_batch_yyy02.pl,w3,no,no,yes
416,exp_acyclic_depvary_step4_batch_yyy02.pl,y4,no,no,yes
418,exp_acyclic_depvary_step4_batch_yyy02.pl,t1,no,no,yes
421,exp_acyclic_depvary_step4_batch_yyy03.pl,p5,no,no,yes
422,exp_acyclic_depvary_step4_batch_yyy03.pl,d3,no,no,yes
423,exp_acyclic_depvary_step4_batch_yyy03.pl,t3,no,no,yes
424,exp_acyclic_depvary_step4_batch_yyy03.pl,u3,no,no,yes
425,exp_acyclic_depvary_step4_batch_yyy03.pl,s1,no,no,yes
427,exp_acyclic_depvary_step4_batch_yyy03.pl,b6,no,no,yes
429,exp_acyclic_depvary_step4_batch_yyy03.pl,t4,no,no,yes
430,exp_acyclic_depvary_step4_batch_yyy04.pl,u5,no,no,yes
432,exp_acyclic_depvary_step4_batch_yyy04.pl,d4,no,no,yes
433,exp_acyclic_depvary_step4_batch_yyy04.pl,b4,no,no,yes
436,exp_acyclic_depvary_step4_batch_yyy04.pl,b6,no,no,yes
439,exp_acyclic_depvary_step4_batch_yyy04.pl,f5,no,no,yes
440,exp_acyclic_depvary_step4_batch_yyy05.pl,t4,no,no,yes
441,exp_acyclic_depvary_step4_batch_yyy05.pl,p5,no,no,yes
442,exp_acyclic_depvary_step4_batch_yyy05.pl,t3,no,no,yes
445,exp_acyclic_depvary_step4_batch_yyy05.pl,x4,no,no,yes
446,exp_acyclic_depvary_step4_batch_yyy05.pl,v5,no,no,yes
447,exp_acyclic_depvary_step4_batch_yyy05.pl,w5,no,no,yes
448,exp_acyclic_depvary_step4_batch_yyy05.pl,c6,no,no,yes
451,exp_acyclic_depvary_step4_batch_yyy06.pl,z5,no,no,yes
454,exp_acyclic_depvary_step4_batch_yyy06.pl,z4,no,no,yes
455,exp_acyclic_depvary_step4_batch_yyy06.pl,v4,no,no,yes
457,exp_acyclic_depvary_step4_batch_yyy06.pl,u2,no,no,yes
459,exp_acyclic_depvary_step4_batch_yyy06.pl,w3,no,no,yes
460,exp_acyclic_depvary_step4_batch_yyy07.pl,u5,no,no,yes
461,exp_acyclic_depvary_step4_batch_yyy07.pl,t5,no,no,yes
462,exp_acyclic_depvary_step4_batch_yyy07.pl,q4,no,no,yes
463,exp_acyclic_depvary_step4_batch_yyy07.pl,f3,no,no,yes
465,exp_acyclic_depvary_step4_batch_yyy07.pl,x4,no,no,yes
468,exp_acyclic_depvary_step4_batch_yyy07.pl,t1,no,no,yes
469,exp_acyclic_depvary_step4_batch_yyy07.pl,q1,no,no,yes
470,exp_acyclic_depvary_step4_batch_yyy08.pl,t5,no,no,yes
471,exp_acyclic_depvary_step4_batch_yyy08.pl,d4,no,no,yes
472,exp_acyclic_depvary_step4_batch_yyy08.pl,t3,no,no,yes
473,exp_acyclic_depvary_step4_batch_yyy08.pl,f3,no,no,yes
476,exp_acyclic_depvary_step4_batch_yyy08.pl,v3,no,no,yes
477,exp_acyclic_depvary_step4_batch_yyy08.pl,y5,no,no,yes
478,exp_acyclic_depvary_step4_batch_yyy08.pl,w3,no,no,yes
481,exp_acyclic_depvary_step4_batch_yyy09.pl,d3,no,no,yes
482,exp_acyclic_depvary_step4_batch_yyy09.pl,t3,no,no,yes
483,exp_acyclic_depvary_step4_batch_yyy09.pl,z4,no,no,yes
486,exp_acyclic_depvary_step4_batch_yyy09.pl,a6,no,no,yes
487,exp_acyclic_depvary_step4_batch_yyy09.pl,s4,no,no,yes
488,exp_acyclic_depvary_step4_batch_yyy09.pl,a4,no,no,yes
490,exp_acyclic_depvary_step4_batch_yyy10.pl,w5,no,no,yes
491,exp_acyclic_depvary_step4_batch_yyy10.pl,q4,no,no,yes
492,exp_acyclic_depvary_step4_batch_yyy10.pl,r5,no,no,yes
493,exp_acyclic_depvary_step4_batch_yyy10.pl,w4,no,no,yes
495,exp_acyclic_depvary_step4_batch_yyy10.pl,b6,no,no,yes
498,exp_acyclic_depvary_step4_batch_yyy10.pl,u5,no,no,yes
499,exp_acyclic_depvary_step4_batch_yyy10.pl,d5,no,no,yes
500,exp_acyclic_depvary_step5_batch_yyy01.pl,d5,no,no,yes
501,exp_acyclic_depvary_step5_batch_yyy01.pl,p5,no,no,yes
502,exp_acyclic_depvary_step5_batch_yyy01.pl,a4,no,no,yes
506,exp_acyclic_depvary_step5_batch_yyy01.pl,c5,no,no,yes
510,exp_acyclic_depvary_step5_batch_yyy02.pl,u5,no,no,yes
511,exp_acyclic_depvary_step5_batch_yyy02.pl,t4,no,no,yes
513,exp_acyclic_depvary_step5_batch_yyy02.pl,q4,no,no,yes
514,exp_acyclic_depvary_step5_batch_yyy02.pl,f5,no,no,yes
515,exp_acyclic_depvary_step5_batch_yyy02.pl,r5,no,no,yes
518,exp_acyclic_depvary_step5_batch_yyy02.pl,p4,no,no,yes
519,exp_acyclic_depvary_step5_batch_yyy02.pl,d4,no,no,yes
520,exp_acyclic_depvary_step5_batch_yyy03.pl,s4,no,no,yes
521,exp_acyclic_depvary_step5_batch_yyy03.pl,d4,no,no,yes
523,exp_acyclic_depvary_step5_batch_yyy03.pl,w1,no,no,yes
526,exp_acyclic_depvary_step5_batch_yyy03.pl,y1,no,no,yes
527,exp_acyclic_depvary_step5_batch_yyy03.pl,y5,no,no,yes
528,exp_acyclic_depvary_step5_batch_yyy03.pl,b6,no,no,yes
530,exp_acyclic_depvary_step5_batch_yyy04.pl,p5,no,no,yes
532,exp_acyclic_depvary_step5_batch_yyy04.pl,v5,no,no,yes
534,exp_acyclic_depvary_step5_batch_yyy04.pl,v4,no,no,yes
536,exp_acyclic_depvary_step5_batch_yyy04.pl,s5,no,no,yes
537,exp_acyclic_depvary_step5_batch_yyy04.pl,b4,no,no,yes
540,exp_acyclic_depvary_step5_batch_yyy05.pl,t5,no,no,yes
541,exp_acyclic_depvary_step5_batch_yyy05.pl,y4,no,no,yes
542,exp_acyclic_depvary_step5_batch_yyy05.pl,a5,no,no,yes
543,exp_acyclic_depvary_step5_batch_yyy05.pl,y3,no,no,yes
544,exp_acyclic_depvary_step5_batch_yyy05.pl,x5,no,no,yes
545,exp_acyclic_depvary_step5_batch_yyy05.pl,r4,no,no,yes
548,exp_acyclic_depvary_step5_batch_yyy05.pl,b4,no,no,yes
549,exp_acyclic_depvary_step5_batch_yyy05.pl,q5,no,no,yes
550,exp_acyclic_depvary_step5_batch_yyy06.pl,t5,no,no,yes
551,exp_acyclic_depvary_step5_batch_yyy06.pl,y4,no,no,yes
552,exp_acyclic_depvary_step5_batch_yyy06.pl,z5,no,no,yes
554,exp_acyclic_depvary_step5_batch_yyy06.pl,y1,no,no,yes
558,exp_acyclic_depvary_step5_batch_yyy06.pl,z4,no,no,yes
559,exp_acyclic_depvary_step5_batch_yyy06.pl,e4,no,no,yes
560,exp_acyclic_depvary_step5_batch_yyy07.pl,p5,no,no,yes
562,exp_acyclic_depvary_step5_batch_yyy07.pl,u4,no,no,yes
563,exp_acyclic_depvary_step5_batch_yyy07.pl,p3,no,no,yes
565,exp_acyclic_depvary_step5_batch_yyy07.pl,p2,no,no,yes
570,exp_acyclic_depvary_step5_batch_yyy08.pl,c4,no,no,yes
571,exp_acyclic_depvary_step5_batch_yyy08.pl,d4,no,no,yes
572,exp_acyclic_depvary_step5_batch_yyy08.pl,e5,no,no,yes
575,exp_acyclic_depvary_step5_batch_yyy08.pl,b6,no,no,yes
579,exp_acyclic_depvary_step5_batch_yyy08.pl,v4,no,no,yes
582,exp_acyclic_depvary_step5_batch_yyy09.pl,e4,no,no,yes
584,exp_acyclic_depvary_step5_batch_yyy09.pl,t2,no,no,yes
589,exp_acyclic_depvary_step5_batch_yyy09.pl,x1,no,no,yes
591,exp_acyclic_depvary_step5_batch_yyy10.pl,d4,no,no,yes
592,exp_acyclic_depvary_step5_batch_yyy10.pl,w4,no,no,yes
594,exp_acyclic_depvary_step5_batch_yyy10.pl,z3,no,no,yes
595,exp_acyclic_depvary_step5_batch_yyy10.pl,x4,no,no,yes
596,exp_acyclic_depvary_step5_batch_yyy10.pl,t5,no,no,yes
598,exp_acyclic_depvary_step5_batch_yyy10.pl,v4,no,no,yes
600,exp_acyclic_depvary_step6_batch_yyy01.pl,d5,no,no,yes
602,exp_acyclic_depvary_step6_batch_yyy01.pl,w5,no,no,yes
604,exp_acyclic_depvary_step6_batch_yyy01.pl,a5,no,no,yes
606,exp_acyclic_depvary_step6_batch_yyy01.pl,r4,no,no,yes
607,exp_acyclic_depvary_step6_batch_yyy01.pl,u2,no,no,yes
608,exp_acyclic_depvary_step6_batch_yyy01.pl,z4,no,no,yes
609,exp_acyclic_depvary_step6_batch_yyy01.pl,e4,no,no,yes
611,exp_acyclic_depvary_step6_batch_yyy02.pl,r5,no,no,yes
612,exp_acyclic_depvary_step6_batch_yyy02.pl,r4,no,no,yes
614,exp_acyclic_depvary_step6_batch_yyy02.pl,p5,no,no,yes
616,exp_acyclic_depvary_step6_batch_yyy02.pl,u1,no,no,yes
618,exp_acyclic_depvary_step6_batch_yyy02.pl,x5,no,no,yes
620,exp_acyclic_depvary_step6_batch_yyy03.pl,d5,no,no,yes
623,exp_acyclic_depvary_step6_batch_yyy03.pl,d4,no,no,yes
625,exp_acyclic_depvary_step6_batch_yyy03.pl,s1,no,no,yes
